# experiment P-166 (R-166)
# hypothesis: Greedy is provably optimal on matroids and within (1-1/e) for monotone submodular maximisation under a cardinality constraint (Nemhauser, Wolsey & Fisher; paywalled, so the statement must be sourced from a freely available restatement). Greedy meshing is a minimum-cardinality cover, not a max-weight independent set, so no matroid -- that half is registered as a negative. The LOD chunk budget is the other half: choose which chunks to refine under a fixed frame budget to minimise screen-space error. (C1) Greedy meshing is shown not to be a matroid problem, by exhibiting a counterexample to the exchange property. (C2) The LOD budget's marginal screen-space-error reduction is measured per chunk and shown to be diminishing -- or a chunk with increasing marginal returns is exhibited, which would kill the (1-1/e) guarantee outright and is the falsifier that matters. SHARE: C2 governs the LOD selection stage, whose amortised cost M-124 tracks to within one chunk.
# falsified by: C1 by the exchange property holding, which would be a much stronger result. C2 by increasing marginal returns, which closes the guarantee -- and finding one such chunk is cheaper than proving none exists, so the experiment is designed to look for it. VACUITY CONTROL: the marginal-return curve must be computed over at least 50 chunks spanning at least two LOD levels, or 'diminishing' is a claim about a handful of points.
# commit 8968839 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:31Z
problem,is_matroid,is_submodular,marginal_returns_monotone,greedy_ratio,bound_applies,violating_chunks,c1_holds,c2_holds,arm_has_chunks,arm_kind,arm_verdict,augmentation_failures,axioms,bases_complete,bases_enumerated,basis_size_ratio,budget_k,camera,cell_size,chunks_per_axis,chunks_visited,curve_chunks,disjoint_from_small,distance_order_ratio,downsample_op,downward_closed,empty_independent,f_distance_order,f_greedy,f_optimal,field,fixture_art,fixture_cells,greedy_basis,greedy_is_optimal,ground_rectangles,independent_sets,is_control,levels_spanned,max_basis,min_basis,min_basis_exact,min_basis_rects,monotone,normalized,one_minus_1_over_e,p_system_lower_bound,quads_merge_greedy,quads_merge_off,ratio_meets_nwf_bound,refinement_steps,resolution,rng_seed,share_over_distance_order,steps_total,submodular_pairs,submodular_scan_saw_it,submodular_violations,submodular_worst_slack,violating_chunks_material,wall_ns,witness_a,witness_b,witness_sees_violation,worst_chunk_coords,worst_chunk_distance,worst_chunk_gains,worst_chunk_geometric,worst_chunk_lipschitz,worst_chunk_screen,worst_chunk_violates,worst_chunk_violates_materially,worst_second_at_step,worst_second_difference
lod_budget/sphere@k=57,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,57,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,0.449177,decimate,,,1.314985e2,2.927546e2,2.927546e2,sphere,,,,false,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.550823,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
lod_budget/sphere@k=114,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,114,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,0.500464,decimate,,,2.636258e2,5.267629e2,5.267629e2,sphere,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.499536,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
lod_budget/sphere@k=228,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,228,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,0.633995,decimate,,,4.881445e2,7.699505e2,7.699505e2,sphere,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.366005,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
lod_budget/sphere@k=456,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,456,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,1.000000,decimate,,,9.219799e2,9.219799e2,9.219799e2,sphere,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.000000,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
lod_budget/sphere@worst_chunk,true,true,true,1.000000,true,0,true,false,true,c2_worst_chunk,true,,,,,,114,,,,,152,,,,,,,,,sphere,,,,,,,false,4,,,,,,,,,,,,3,,,,456,,false,,,0,179109546,,,false,3|3|5,5.990734,3.164945e0|9.049330e-1|3.270063e-1,0.000000e0|2.094507e-3|7.890689e-3|2.816246e-2,8.265588e-1,0.000000e0|3.270063e-1|1.231939e0|4.396884e0,false,false,2,-5.779266e-1
control/lod_reversed_sphere,true,false,false,0.993500,false,152,true,false,true,c2_control,false,,,,,,114,,,,,152,,,,,,,,,sphere,,,,,,,true,4,,,,,,,0.632121,,,,true,3,,,,456,,,,,,179109546,,,,,,,,,,,,,
lod_budget/capped_gyroid@k=1,true,false,false,1.000000,false,92,true,false,true,c2_budget,false,,,,,,1,10.5000|10.5000|10.5000,0.250000000,7,343,221,,0.717858,decimate,,,2.984502e1,4.157513e1,4.157513e1,capped_gyroid,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.282142,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@k=41,true,false,false,1.000000,false,92,true,false,true,c2_budget,false,,,,,,41,10.5000|10.5000|10.5000,0.250000000,7,343,221,,0.438684,decimate,,,4.950951e2,1.128591e3,1.128591e3,capped_gyroid,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.561316,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@k=82,true,false,false,1.000000,false,92,true,false,true,c2_budget,false,,,,,,82,10.5000|10.5000|10.5000,0.250000000,7,343,221,,0.610165,decimate,,,1.154916e3,1.892792e3,1.892792e3,capped_gyroid,,,,false,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.389835,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@k=165,true,false,false,0.998927,false,92,true,false,true,c2_budget,false,,,,,,165,10.5000|10.5000|10.5000,0.250000000,7,343,221,,0.718373,decimate,,,2.185645e3,3.039226e3,3.042491e3,capped_gyroid,,,,false,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.280553,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@k=331,true,false,false,0.997331,false,92,true,false,true,c2_budget,false,,,,,,331,10.5000|10.5000|10.5000,0.250000000,7,343,221,,0.830572,decimate,,,3.912686e3,4.698258e3,4.710830e3,capped_gyroid,,,,false,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.166759,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@k=663,true,false,false,1.000000,false,92,true,false,true,c2_budget,false,,,,,,663,10.5000|10.5000|10.5000,0.250000000,7,343,221,,1.000000,decimate,,,6.589181e3,6.589181e3,6.589181e3,capped_gyroid,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.000000,663,20000,false,0,0.000000e0,92,179109546,,,true,,,,,,,,,,6.748998e0
lod_budget/capped_gyroid@worst_chunk,true,false,false,0.998927,false,92,true,false,true,c2_worst_chunk,false,,,,,,165,,,,,221,,,,,,,,,capped_gyroid,,,,,,,false,4,,,,,,,,,,,,3,,,,663,,false,,,92,179109546,,,true,5|5|5,9.526279,2.984502e1|9.237806e0|1.598680e1,0.000000e0|1.628286e-1|2.569173e-1|5.608944e-1,1.007943e0,0.000000e0|1.598680e1|2.522461e1|5.506963e1,true,true,2,6.748998e0
control/lod_reversed_capped_gyroid,true,false,false,0.877375,false,209,true,false,true,c2_control,false,,,,,,165,,,,,221,,,,,,,,,capped_gyroid,,,,,,,true,4,,,,,,,0.632121,,,,true,3,,,,663,,,,,,179109546,,,,,,,,,,,,,
lod_budget/fbm_terrain@k=1,true,false,false,1.000000,false,155,true,false,true,c2_budget,false,,,,,,1,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,0.279075,decimate,,,5.668469e0,2.031164e1,2.031164e1,fbm_terrain,,,,true,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.720925,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@k=34,true,false,false,1.000000,false,155,true,false,true,c2_budget,false,,,,,,34,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,0.546589,decimate,,,2.183236e2,3.994293e2,3.994293e2,fbm_terrain,,,,true,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.453411,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@k=69,true,false,false,0.999922,false,155,true,false,true,c2_budget,false,,,,,,69,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,0.626643,decimate,,,4.175534e2,6.662811e2,6.663334e2,fbm_terrain,,,,false,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.373278,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@k=139,true,false,false,0.992255,false,155,true,false,true,c2_budget,false,,,,,,139,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,0.783793,decimate,,,8.512630e2,1.077670e3,1.086081e3,fbm_terrain,,,,false,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.208462,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@k=279,true,false,false,0.979824,false,155,true,false,true,c2_budget,false,,,,,,279,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,0.862418,decimate,,,1.518270e3,1.724960e3,1.760480e3,fbm_terrain,,,,false,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.117405,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@k=558,true,false,false,1.000000,false,155,true,false,true,c2_budget,false,,,,,,558,12.0000|12.0000|12.0000,0.200000000,10,1000,186,,1.000000,decimate,,,2.679417e3,2.679417e3,2.679417e3,fbm_terrain,,,,true,,,false,4,,,,,false,true,0.632121,,,,true,3,,0x5eed0166,0.000000,558,20000,true,806,-5.600105e1,153,179109546,,,true,,,,,,,,,,7.043208e0
lod_budget/fbm_terrain@worst_chunk,true,false,false,0.992255,false,155,true,false,true,c2_worst_chunk,false,,,,,,139,,,,,186,,,,,,,,,fbm_terrain,,,,,,,false,4,,,,,,,,,,,,3,,,,558,,true,,,153,179109546,,,true,0|5|7,22.328457,1.922011e0|8.965218e0|4.682462e0,0.000000e0|1.117837e-1|3.258091e-1|3.716930e-1,1.369316e0,0.000000e0|4.682462e0|1.364768e1|1.556969e1,true,true,1,7.043208e0
control/lod_reversed_fbm_terrain,true,false,false,0.912685,false,155,true,false,true,c2_control,false,,,,,,139,,,,,186,,,,,,,,,fbm_terrain,,,,,,,true,4,,,,,,,0.632121,,,,true,3,,,,558,,,,,,179109546,,,,,,,,,,,,,
control/lod_convex_synthetic,true,false,false,0.333333,false,1,true,false,true,c2_control,false,,,,,,3,,,,,2,,,,,,,4.000000e0,1.200000e1,synthetic,,,,,,,true,4,,,,,,,0.632121,,,,false,3,,,,6,20000,,3750,,,179109546,,,,,,1.000000e0|1.000000e0|1.000000e1,,,,,,,
