csg_difference,65,41,218120,0,41,0,0,88748,88789,0,true,true,true,1483,216637,1493,0,0,3858,3858,0,0,0,41,1636,0,0,true,143,true,true,false,true,12,4,262144,0,1.288519e-16,371,216678,371,6,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,43612,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
csg_difference,129,85,1746291,0,85,2,2,705754,705839,0,true,true,true,5849,1740442,1493,0,0,3858,3858,0,0,2,83,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,1.121993e-16,866,1740527,866,11,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,349910,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
thin_plate,33,0,24576,0,0,0,0,16392,16392,0,true,true,true,8,24568,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,1.197131e0,0,24568,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,8192,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
thin_plate,65,0,196608,0,0,0,0,131080,131080,0,true,true,true,8,196600,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,1.187751e0,0,196600,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,65536,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
thin_plate,129,0,1572864,0,0,0,0,1048584,1048584,0,true,true,true,8,1572856,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,1.158087e0,0,1572856,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,524288,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
gyroid,33,0,0,0,0,0,0,60804,60804,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,5.582778e-4,2366,0,2366,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,30402,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
gyroid,65,0,0,0,0,0,0,492246,492246,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,1.861057e-4,16021,0,16021,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,246123,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
gyroid,129,0,0,0,0,0,0,3962082,3962082,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,7.107171e-6,116111,0,116111,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,1981041,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
fbm_terrain,33,0,28755,0,0,0,0,36781,36781,0,true,true,true,28755,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,1.000000e0,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,4013,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
fbm_terrain,65,0,245314,0,0,0,0,278974,278974,0,true,true,true,245314,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,9.999999e-1,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,16830,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
fbm_terrain,129,0,2028864,0,0,0,0,2165440,2165440,0,true,true,true,2028864,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,9.992875e-1,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,68288,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
noise_cavity,33,0,6,0,0,0,0,62360,62360,0,true,true,true,6,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,2.813020e-4,1585,0,1585,0,0,false,0,2,71,0,40,112290,64,64,0,0,0,0,0,0,0,20,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,31177,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
noise_cavity,65,0,30,0,0,0,0,504442,504442,0,true,true,true,30,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,1.982062e-5,9908,0,9908,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,252206,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
noise_cavity,129,0,213,0,0,0,0,4059781,4059781,0,true,true,true,213,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,1.150057e-5,67155,0,67155,0,0,false,0,2,71,0,40,112290,64,64,0,0,0,0,0,0,0,20,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,2029784,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
synthetic_w_state,2,1,0,0,1,1,1,1,2,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,1,0,1636,0,0,true,143,true,true,false,true,12,4,1,0,none,0,1,0,0,0,true,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,0,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
synthetic_w_orbit,2,2176,640,640,2176,2176,2176,2176,4352,48,true,true,true,0,640,1493,0,0,3858,3858,0,0,2176,0,1636,0,0,true,143,true,true,true,false,12,4,2816,0,none,0,2816,0,0,0,true,0,0,71,0,40,112290,64,64,24,32,1080,0,4936,0,4984,10,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,0,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
synthetic_rank_one,2,0,2048,0,0,0,0,0,0,0,true,true,true,0,2048,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2048,0,none,0,2048,0,0,0,true,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,0,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
synthetic_biseparable,2,1493,4651,652,1493,0,0,1493,2986,88,true,true,true,0,4651,1493,0,0,3858,3858,0,0,0,1493,1636,0,0,true,143,true,true,true,false,12,4,6144,0,none,0,6144,0,0,0,true,0,0,71,0,40,112290,64,64,30,30,640,0,2619,0,2707,12,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,0,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
synthetic_generic,2,45,192,13,45,43,43,3062,3107,4,true,true,true,163,29,1493,0,0,3858,3858,0,0,43,2,1636,0,0,true,143,true,true,true,false,12,4,2048,0,4.164931e-4,384,74,384,0,0,true,0,3,71,0,40,112290,64,64,1,1,22,0,92,0,96,20,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,1427,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
