# experiment P-181 (R-186)
# hypothesis: M-491 read tau = 1.000000000 on box_exact, whose reach is 0, and the failure was not arithmetic: a sharp edge is a one-dimensional subset of the surface, no marching-cubes vertex is obliged to land on one, and both halves of Theorem 3.4 answered correctly for a manifold the theorem's own hypothesis (reach > 0) excludes. Three of this crate's reference fields carry sharp features -- box_exact, thin_plate, and csg_difference at its cut -- so every sampling theorem in this family is INAPPLICABLE to them, and the instrument that says so does not exist. It can: at a crease the field's gradient DIRECTION is discontinuous while its magnitude is not, so the angular spread of the unit gradient over a ball of radius r about a surface point converges to the dihedral angle as r falls, whereas on a C^2 surface it falls like r. The detector is that convergence, measured over a ladder of radii, and it needs no mesh and no medial axis. (C1) The two behaviours separate: on box_exact and thin_plate the largest limiting spread is at least 80 degrees and the ratio spread(r)/spread(2r) stays above 0.8 down the ladder, while on sphere, torus and capsule the spread falls with ratio at most 0.6 at every rung. (C2) The verdict agrees with the closed forms on all four fields whose reach is known: flagged on box_exact (tau = 0), unflagged on sphere, torus and capsule (tau > 0). (C3) The three fields M-491 measured a minute but non-zero tau on -- gyroid 0.000709069, fbm_terrain 0.092099998, noise_cavity 0.000145884 -- come back UNFLAGGED, which would say those numbers are real small reaches rather than zeros the estimator failed to see. SHARE: none -- this decides which theorems may be quoted about which field, not what the extractor does.
# falsified by: C1 by the two families not separating, which would mean the angular spread is not the signal and a crease detector needs the mesh after all -- a worse instrument, because the mesh is what the theorem is supposed to be grading. C2 by a disagreement with a closed form, which closes the route: an instrument that miscalls a known case cannot certify an unknown one. C3 by a FLAG on any of the three rough fields, which would be the most consequential outcome available here -- it would say those fields have reach exactly zero rather than merely small, that M-491's C2 spread of 2468.025804 was measuring a floor rather than a quantity, and that no positive-reach theorem applies to five of this crate's eight reference fields. VACUITY CONTROL: a synthetic pair with a known answer, built in the same harness and scored before any reference field is read -- two half-planes meeting at exactly 90 degrees, and the same wedge filleted with a known blend radius of 0.05. The detector must flag the first, must not flag the second, and must recover the fillet's curvature 1/0.05 = 20 to within 10 percent. A detector that cannot tell a crease from a 0.05 fillet cannot certify anything, and the row is vacuous whatever the clauses say.
# commit 1e03bdf (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-09-12T14:14:06Z
field,probe_radius,surface_samples,max_angular_spread_deg,spread_ratio,limiting_spread_deg,flagged_sharp,tau_known,verdict_agrees,fillet_curvature_measured,fillet_curvature_expected,control_separates,c1_holds,c2_holds,c3_holds
csg_difference,0.100000000,1728,129.036197755,0.996715555,122.631396940,true,na,na,19.927397218,20.000000000,true,false,true,false
csg_difference,0.050000000,1728,125.537573114,0.996715555,122.631396940,true,na,na,19.927397218,20.000000000,true,false,true,false
csg_difference,0.025000000,1728,123.854770745,0.996715555,122.631396940,true,na,na,19.927397218,20.000000000,true,false,true,false
csg_difference,0.012500000,1728,123.035500292,0.996715555,122.631396940,true,na,na,19.927397218,20.000000000,true,false,true,false
csg_difference,0.006250000,1728,122.631396940,0.996715555,122.631396940,true,na,na,19.927397218,20.000000000,true,false,true,false
thin_plate,0.100000000,1728,180.000000000,0.500000000,90.000000000,false,na,na,19.927397218,20.000000000,true,false,true,false
thin_plate,0.050000000,1728,180.000000000,0.500000000,90.000000000,false,na,na,19.927397218,20.000000000,true,false,true,false
thin_plate,0.025000000,1728,180.000000000,0.500000000,90.000000000,false,na,na,19.927397218,20.000000000,true,false,true,false
thin_plate,0.012500000,1728,180.000000000,0.500000000,90.000000000,false,na,na,19.927397218,20.000000000,true,false,true,false
thin_plate,0.006250000,1728,90.000000000,0.500000000,90.000000000,false,na,na,19.927397218,20.000000000,true,false,true,false
gyroid,0.100000000,1728,145.178720472,0.990123836,136.234878393,true,na,na,19.927397218,20.000000000,true,false,true,false
gyroid,0.050000000,1728,145.968161932,0.990123836,136.234878393,true,na,na,19.927397218,20.000000000,true,false,true,false
gyroid,0.025000000,1728,140.347780948,0.990123836,136.234878393,true,na,na,19.927397218,20.000000000,true,false,true,false
gyroid,0.012500000,1728,137.593777041,0.990123836,136.234878393,true,na,na,19.927397218,20.000000000,true,false,true,false
gyroid,0.006250000,1728,136.234878393,0.990123836,136.234878393,true,na,na,19.927397218,20.000000000,true,false,true,false
fbm_terrain,0.100000000,1728,94.014929552,0.503618324,8.797492549,false,na,na,19.927397218,20.000000000,true,false,true,false
fbm_terrain,0.050000000,1728,61.727411290,0.503618324,8.797492549,false,na,na,19.927397218,20.000000000,true,false,true,false
fbm_terrain,0.025000000,1728,33.983184300,0.503618324,8.797492549,false,na,na,19.927397218,20.000000000,true,false,true,false
fbm_terrain,0.012500000,1728,17.468571200,0.503618324,8.797492549,false,na,na,19.927397218,20.000000000,true,false,true,false
fbm_terrain,0.006250000,1728,8.797492549,0.503618324,8.797492549,false,na,na,19.927397218,20.000000000,true,false,true,false
noise_cavity,0.100000000,1728,179.745273743,0.999902047,179.974433016,true,na,na,19.927397218,20.000000000,true,false,true,false
noise_cavity,0.050000000,1728,179.891696354,0.999902047,179.974433016,true,na,na,19.927397218,20.000000000,true,false,true,false
noise_cavity,0.025000000,1728,179.990666725,0.999902047,179.974433016,true,na,na,19.927397218,20.000000000,true,false,true,false
noise_cavity,0.012500000,1728,179.992063707,0.999902047,179.974433016,true,na,na,19.927397218,20.000000000,true,false,true,false
noise_cavity,0.006250000,1728,179.974433016,0.999902047,179.974433016,true,na,na,19.927397218,20.000000000,true,false,true,false
control_wedge_90deg,0.100000000,1728,90.000000000,1.000000000,90.000000000,true,na,control,19.927397218,20.000000000,true,false,true,false
control_wedge_90deg,0.050000000,1728,90.000000000,1.000000000,90.000000000,true,na,control,19.927397218,20.000000000,true,false,true,false
control_wedge_90deg,0.025000000,1728,90.000000000,1.000000000,90.000000000,true,na,control,19.927397218,20.000000000,true,false,true,false
control_wedge_90deg,0.012500000,1728,90.000000000,1.000000000,90.000000000,true,na,control,19.927397218,20.000000000,true,false,true,false
control_wedge_90deg,0.006250000,1728,90.000000000,1.000000000,90.000000000,true,na,control,19.927397218,20.000000000,true,false,true,false
control_fillet_r0.05,0.100000000,1728,90.000000000,0.497267916,14.271946966,false,na,control,19.927397218,20.000000000,true,false,true,false
control_fillet_r0.05,0.050000000,1728,90.000000000,0.497267916,14.271946966,false,na,control,19.927397218,20.000000000,true,false,true,false
control_fillet_r0.05,0.025000000,1728,59.213140819,0.497267916,14.271946966,false,na,control,19.927397218,20.000000000,true,false,true,false
control_fillet_r0.05,0.012500000,1728,28.700719471,0.497267916,14.271946966,false,na,control,19.927397218,20.000000000,true,false,true,false
control_fillet_r0.05,0.006250000,1728,14.271946966,0.497267916,14.271946966,false,na,control,19.927397218,20.000000000,true,false,true,false
