# experiment P-101 (R-101)
# hypothesis: M-372 SAYS THE DUALS ACCUMULATE CROSSINGS IN AN ORDER THAT AXIS RELABELLING PERMUTES, AND POINTS AT M-177. But M-177 is about NEGATION equivariance -- 'reordering cannot buy negation equivariance, and the obstruction is structural' -- and octahedral relabelling is a different group action. THE EVIDENCE THAT THE TWO ARE NOT THE SAME CASE IS IN p-61.csv: dual_contouring and manifold_dual_contouring already reach 48 on 3 OF 16 ROWS, which a structural obstruction would not permit. So the open question is narrow and cheap: does accumulating in a RELABELLING-INVARIANT order -- sorting the crossings by a key that is a function of the cell's geometry rather than of the axis indices -- take the duals from 3 of 16 to 16 of 16? Note M-24 and M-175: magnitude-ordered sums were real and insufficient once, and 'ties need no tie-break' survived 9,600 trials and fell to the first test about the tie itself -- so the key must be total and its tie-break must itself be invariant, which is registered here rather than discovered. (C1) With crossings accumulated in an order keyed on (|value|, |offset|) with an invariant tie-break, dual_contouring reaches 48 on at least 12 OF 16 rows. (C2) IT IS FREE: no golden hash moves except through the accumulation order itself, and the Hausdorff error is unchanged to 1e-12 -- the same shape as x49's C3. (C3) manifold_dual_contouring does WORSE than dual_contouring, because its cycle partition introduces a second order-dependence the accumulation key cannot reach. SHARE: C2 is a geometric change of zero, asserted rather than hoped.
# falsified by: C1 by under 12, which would mean M-177's obstruction does cover this case and the duals are structurally out of reach. C2 by any geometric change, which would mean the reordering is not a reordering. C3 by the two matching, which would be a stronger result and would mean the cycle partition is already invariant. VACUITY CONTROL: p-61.csv's three already-passing dual rows must still pass, and the tie-break must be exercised -- a count of exact ties in the key is a required column, because M-175 is the precedent for a tie- break that is never tested.
# commit fa17a34 on amd-ryzen-9-5900x-12-core at 2026-08-28T01:27:23Z
field,resolution,extractor,accumulation_key,elements_vertex_exact,elements_vertex_exact_baseline,worst_component_ulp,exact_key_ties,hausdorff_delta,hashes_moved,hashes_moved_expected,c1_holds,c2_holds,c3_holds,arm_abs_value_abs_offset_dual_rows_at_perm_6,arm_abs_value_abs_offset_equivariant_normal_dual_rows_at_perm_6,arm_abs_value_abs_offset_equivariant_normal_golden_hashes_moved,arm_abs_value_abs_offset_equivariant_normal_rows_at_48_dual_contouring,arm_abs_value_abs_offset_equivariant_normal_rows_at_48_manifold,arm_abs_value_abs_offset_golden_hashes_moved,arm_abs_value_abs_offset_rows_at_48_dual_contouring,arm_abs_value_abs_offset_rows_at_48_manifold,arm_edge_slot_dual_rows_at_perm_6,arm_edge_slot_equivariant_normal_dual_rows_at_perm_6,arm_edge_slot_equivariant_normal_golden_hashes_moved,arm_edge_slot_equivariant_normal_rows_at_48_dual_contouring,arm_edge_slot_equivariant_normal_rows_at_48_manifold,arm_edge_slot_golden_hashes_moved,arm_edge_slot_rows_at_48_dual_contouring,arm_edge_slot_rows_at_48_manifold,baseline_matches_p61,baseline_rows_at_48_dual_contouring,baseline_rows_at_48_manifold,bit_identical_to_shipped,block,c1_population,c1_rows_at_48,c3_rows_at_48_manifold,cell_size,cells_solved,counts_identical,crossings_visited,elements_tested,elements_triangle_exact,elements_vertex_exact_p61,first_failing_element,golden_counts_changed,golden_dual_rows,golden_fixture_matches_shipped,golden_hash_committed,hausdorff_arm,hausdorff_shipped,indices_identical,max_hausdorff_delta,mesh_hash_arm,mesh_hash_moved,mesh_hash_shipped,multi_crossing_cells,positions_moved,pure_permutation_exact,pure_permutation_exact_baseline,pure_sign_flip_exact,pure_sign_flip_exact_baseline,replica_bit_identical,share_reachable_before_run,topology_identical,total_key_ties,total_unbreakable_key_ties,triangles,unbreakable_key_ties,vacuity_baseline_rows_still_at_48,vertex_failing_labels,vertices,vertices_baseline,wall_ms,worst_differing_vertices
sphere,25,dual_contouring,edge_slot_equivariant_normal,6,2,9212300193132559972,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.187500000,26264,true,104664,48,3,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,8dc9ee4a865a5e4d,true,f584a53f76b7e73d,26264,128,6,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,45,96
sphere,25,dual_contouring,abs_value_abs_offset_equivariant_normal,1,2,9212724641279136096,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.187500000,26264,true,104664,48,1,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,1c3b0793c454d8ad,true,f584a53f76b7e73d,26264,416,1,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/+++|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,21,174
sphere,25,manifold_dual_contouring,edge_slot,2,2,9212300193132559972,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,true,equivariance,16,3,3,0.187500000,26264,true,104664,48,1,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,f584a53f76b7e73d,false,f584a53f76b7e73d,26264,0,2,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,47,160
sphere,25,manifold_dual_contouring,abs_value_abs_offset,1,2,9212724641279136096,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.187500000,26264,true,104664,48,1,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,2a255d2be4f2dcfd,true,f584a53f76b7e73d,26264,416,1,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/+++|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,22,238
sphere,25,manifold_dual_contouring,edge_slot_equivariant_normal,6,2,9212300193132559972,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.187500000,26264,true,104664,48,3,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,8dc9ee4a865a5e4d,true,f584a53f76b7e73d,26264,128,6,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,48,96
sphere,25,manifold_dual_contouring,abs_value_abs_offset_equivariant_normal,1,2,9212724641279136096,17248,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.187500000,26264,true,104664,48,1,2,perm=012;sign=-++,0,48,true,,9.493228336035e-3,9.493228336035e-3,true,3.008704396734e-14,1c3b0793c454d8ad,true,f584a53f76b7e73d,26264,416,1,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,1068,17248,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/+++|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,536,536,24,174
torus,33,dual_contouring,edge_slot,2,2,9216784846773488044,6664,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,true,equivariance,16,3,3,0.125000000,55272,true,221088,48,1,2,perm=012;sign=-++,0,48,true,,1.108488469254e-2,1.108488469254e-2,true,3.008704396734e-14,3eef7f6e20077c9b,false,3eef7f6e20077c9b,55272,0,2,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,2256,4440,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,1128,1128,96,520
torus,33,dual_contouring,abs_value_abs_offset,2,2,9216784846773488044,6664,1.474514954580e-16,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.125000000,55272,true,221088,48,1,2,perm=012;sign=-++,0,48,true,,1.108488469254e-2,1.108488469254e-2,true,3.008704396734e-14,46680871c56e7f97,true,3eef7f6e20077c9b,55272,816,2,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,2256,4440,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,1128,1128,50,560
torus,33,dual_contouring,edge_slot_equivariant_normal,6,2,9216784846773488044,6664,0.000000000000e0,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.125000000,55272,true,221088,48,3,2,perm=012;sign=-++,0,48,true,,1.108488469254e-2,1.108488469254e-2,true,3.008704396734e-14,b42f7ec47f1b3693,true,3eef7f6e20077c9b,55272,200,6,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,2256,4704,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,1128,1128,98,300
torus,33,dual_contouring,abs_value_abs_offset_equivariant_normal,3,2,9216784846773488044,6664,1.474514954580e-16,40,40,false,true,false,8,12,40,3,3,40,3,3,8,32,34,3,3,0,3,3,true,3,3,false,equivariance,16,3,3,0.125000000,55272,true,221088,48,1,2,perm=012;sign=-++,0,48,true,,1.108488469254e-2,1.108488469254e-2,true,3.008704396734e-14,fd625d5c6fe35f7b,true,3eef7f6e20077c9b,55272,860,3,2,1,1,true,false_the_accumulation_is_already_invariant,true,6304928,1523248,2256,4704,6,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,1128,1128,52,348
