# experiment P-144 (R-144)
# hypothesis: P-142 closes gyroid; fbm_terrain remains open, and the question is whether it can be closed at all rather than whether some formula applies. A periodic lattice-noise field with a fixed seed is a deterministic function with a definite chi, so the question is empirical: does it converge with resolution, and is it stable enough to gate on? (C1) With periodic wrap and a fixed seed, measured chi converges as resolution increases and is stable to at least 65^3. (C2) chi varies across seeds, so the gate must be per-seed rather than per-field -- stated in advance so nobody writes a single constant into the suite. SHARE: none.
# falsified by: C1 by chi still moving at the highest tested resolution, which would say the field is not resolved and no oracle is available at game resolutions -- the likely outcome and worth recording. C2 by seed-independent chi, which would be surprising and would make the gate much cheaper. VACUITY CONTROL: at least three seeds must be run, or C2 cannot fire.
# commit ad28433 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:29:17Z
field,octaves,period,wrap_mode,chi_measured,chi_variance_across_seeds,chi_stable,oracle_exists,resolution_convergence,c1_holds,c2_holds,boundary_edges,cell_size,cells_per_axis,chi_delta_from_top,chi_span_across_seeds,chi_top_rung,edges,extract_ms,faces,finest_lattice_cells_per_axis,identified_pairs,iso,max_periodicity_residual,min_seed_separation,non_manifold_edges,samples_per_axis,seed,triangles,vertices,voxels_per_finest_lattice_cell
periodic_value_noise,1,4,periodic,-16,10.240000,true,true,49,false,true,0,0.062500000,64,0,8,-16,84948,31.754,56632,4,776,0.000,1.332e-15,1.064370,0,65,0x123456789abcdef0,56632,28300,16.000
periodic_value_noise,1,4,periodic,-16,10.240000,true,true,49,false,true,0,0.050000000,80,0,8,-16,132690,56.776,88460,4,968,0.000,1.332e-15,1.064370,0,81,0x123456789abcdef0,88460,44214,20.000
periodic_value_noise,1,4,periodic,-16,10.240000,true,true,49,false,true,0,0.041666667,96,0,8,-16,191172,92.651,127448,4,1160,0.000,1.332e-15,1.064370,0,97,0x123456789abcdef0,127448,63708,24.000
periodic_value_noise,1,4,periodic,-16,10.240000,false,true,49,false,true,0,0.031250000,128,0,8,-16,339558,206.456,226372,4,1548,0.000,1.332e-15,1.064370,0,129,0x123456789abcdef0,226372,113170,32.000
periodic_value_noise,1,4,periodic,-10,13.760000,false,true,33,false,true,0,0.250000000,16,-2,10,-8,4308,1.023,2872,4,158,0.000,1.332e-15,1.064370,0,17,0xf00dfacecafeb0ba,2872,1426,4.000
periodic_value_noise,1,4,periodic,-8,15.360000,true,true,33,false,true,0,0.125000000,32,0,10,-8,17052,5.126,11368,4,308,0.000,1.332e-15,1.064370,0,33,0xf00dfacecafeb0ba,11368,5676,8.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,33,false,true,0,0.083333333,48,0,8,-8,38199,13.843,25466,4,457,0.000,1.332e-15,1.064370,0,49,0xf00dfacecafeb0ba,25466,12725,12.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,33,false,true,0,0.062500000,64,0,8,-8,67806,29.205,45204,4,608,0.000,1.332e-15,1.064370,0,65,0xf00dfacecafeb0ba,45204,22594,16.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,33,false,true,0,0.050000000,80,0,8,-8,106110,53.394,70740,4,760,0.000,1.332e-15,1.064370,0,81,0xf00dfacecafeb0ba,70740,35362,20.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,33,false,true,0,0.041666667,96,0,8,-8,152721,87.398,101814,4,905,0.000,1.332e-15,1.064370,0,97,0xf00dfacecafeb0ba,101814,50899,24.000
periodic_value_noise,1,4,periodic,-8,10.240000,false,true,33,false,true,0,0.031250000,128,0,8,-8,271308,194.755,180872,4,1204,0.000,1.332e-15,1.064370,0,129,0xf00dfacecafeb0ba,180872,90428,32.000
periodic_value_noise,3,4,none,2,108.800000,false,false,never,false,true,468,0.250000000,16,26,26,-24,8262,3.794,5352,16,0,0.000,1.332e-15,1.064370,0,17,0x5eed000000000001,5352,2912,1.000
periodic_value_noise,3,4,none,-10,152.640000,false,false,never,false,true,940,0.125000000,32,14,36,-24,30167,16.604,19798,16,0,0.000,1.332e-15,1.064370,0,33,0x5eed000000000001,19800,10359,2.000
periodic_value_noise,3,4,none,-20,168.960000,false,false,never,false,true,1392,0.083333333,48,4,36,-24,67812,42.682,44744,16,0,0.000,1.332e-15,1.064370,0,49,0x5eed000000000001,44752,23048,3.000
periodic_value_noise,3,4,none,-16,127.040000,false,false,never,false,true,1860,0.062500000,64,8,32,-24,120297,86.000,79578,16,0,0.000,1.332e-15,1.064370,0,65,0x5eed000000000001,79584,40703,4.000
periodic_value_noise,3,4,none,-20,159.040000,false,false,never,false,true,2332,0.050000000,80,4,34,-24,188384,151.171,124812,16,0,0.000,1.332e-15,1.064370,0,81,0x5eed000000000001,124812,63552,5.000
periodic_value_noise,3,4,none,-22,180.800000,false,false,never,false,true,2804,0.041666667,96,2,36,-24,271279,244.440,179918,16,0,0.000,1.332e-15,1.064370,0,97,0x5eed000000000001,179936,91339,6.000
periodic_value_noise,3,4,none,-24,184.960000,false,false,never,false,true,3716,0.031250000,128,0,36,-24,481471,521.252,319742,16,0,0.000,1.332e-15,1.064370,0,129,0x5eed000000000001,319772,161705,8.000
periodic_value_noise,3,4,none,6,108.800000,false,false,never,false,true,556,0.250000000,16,0,26,6,8000,3.738,5148,16,0,0.000,1.332e-15,1.064370,0,17,0x5eed000000000002,5148,2858,1.000
periodic_value_noise,3,4,none,8,152.640000,false,false,never,false,true,1076,0.125000000,32,2,36,6,29314,16.244,19184,16,0,0.000,1.332e-15,1.064370,0,33,0x5eed000000000002,19184,10138,2.000
periodic_value_noise,3,4,none,4,168.960000,false,false,never,false,true,1628,0.083333333,48,-2,36,6,66058,42.046,43496,16,0,0.000,1.332e-15,1.064370,0,49,0x5eed000000000002,43504,22566,3.000
periodic_value_noise,3,4,none,-4,127.040000,false,false,never,false,true,2156,0.062500000,64,-10,32,6,117586,85.126,77672,16,0,0.000,1.332e-15,1.064370,0,65,0x5eed000000000002,77672,39910,4.000
periodic_value_noise,3,4,none,2,159.040000,false,false,never,false,true,2744,0.050000000,80,-4,34,6,184138,149.708,121844,16,0,0.000,1.332e-15,1.064370,0,81,0x5eed000000000002,121852,62296,5.000
periodic_value_noise,3,4,none,4,180.800000,false,false,never,false,true,3280,0.041666667,96,-2,36,6,264833,241.019,175462,16,0,0.000,1.332e-15,1.064370,0,97,0x5eed000000000002,175480,89375,6.000
periodic_value_noise,3,4,none,6,184.960000,false,false,never,false,true,4356,0.031250000,128,0,36,6,470424,517.141,312164,16,0,0.000,1.332e-15,1.064370,0,129,0x5eed000000000002,312184,158266,8.000
periodic_value_noise,3,4,none,-20,108.800000,false,false,never,false,true,656,0.250000000,16,10,26,-30,8320,3.855,5328,16,0,0.000,1.332e-15,1.064370,0,17,0x0badc0ffee0dd00d,5328,2972,1.000
periodic_value_noise,3,4,none,-28,152.640000,false,false,never,false,true,1248,0.125000000,32,2,36,-30,29526,16.464,19268,16,0,0.000,1.332e-15,1.064370,0,33,0x0badc0ffee0dd00d,19272,10230,2.000
periodic_value_noise,3,4,none,-32,168.960000,false,false,never,false,true,1876,0.083333333,48,-2,36,-30,66392,42.257,43636,16,0,0.000,1.332e-15,1.064370,0,49,0x0badc0ffee0dd00d,43636,22724,3.000
periodic_value_noise,3,4,none,-36,127.040000,false,false,never,false,true,2524,0.062500000,64,-6,32,-30,118325,85.602,78042,16,0,0.000,1.332e-15,1.064370,0,65,0x0badc0ffee0dd00d,78044,40247,4.000
periodic_value_noise,3,4,none,-32,159.040000,false,false,never,false,true,3136,0.050000000,80,-2,34,-30,185090,150.396,122348,16,0,0.000,1.332e-15,1.064370,0,81,0x0badc0ffee0dd00d,122356,62710,5.000
periodic_value_noise,3,4,none,-32,180.800000,false,false,never,false,true,3780,0.041666667,96,-2,36,-30,265782,241.323,175928,16,0,0.000,1.332e-15,1.064370,0,97,0x0badc0ffee0dd00d,175932,89822,6.000
periodic_value_noise,3,4,none,-30,184.960000,false,false,never,false,true,5034,0.031250000,128,0,36,-30,472953,515.956,313624,16,0,0.000,1.332e-15,1.064370,0,129,0x0badc0ffee0dd00d,313644,159299,8.000
periodic_value_noise,3,4,none,-10,108.800000,false,false,never,false,true,596,0.250000000,16,16,26,-26,8302,3.838,5336,16,0,0.000,1.332e-15,1.064370,0,17,0x123456789abcdef0,5336,2956,1.000
periodic_value_noise,3,4,none,-22,152.640000,false,false,never,false,true,1180,0.125000000,32,4,36,-26,29786,16.408,19464,16,0,0.000,1.332e-15,1.064370,0,33,0x123456789abcdef0,19464,10300,2.000
periodic_value_noise,3,4,none,-28,168.960000,false,false,never,false,true,1756,0.083333333,48,-2,36,-26,67271,42.787,44262,16,0,0.000,1.332e-15,1.064370,0,49,0x123456789abcdef0,44264,22981,3.000
periodic_value_noise,3,4,none,-26,127.040000,false,false,never,false,true,2388,0.062500000,64,0,32,-26,119736,85.903,79028,16,0,0.000,1.332e-15,1.064370,0,65,0x123456789abcdef0,79036,40682,4.000
periodic_value_noise,3,4,none,-26,159.040000,false,false,never,false,true,3008,0.050000000,80,0,34,-26,186532,150.633,123352,16,0,0.000,1.332e-15,1.064370,0,81,0x123456789abcdef0,123356,63154,5.000
periodic_value_noise,3,4,none,-30,180.800000,false,false,never,false,true,3576,0.041666667,96,-4,36,-26,268962,241.242,178116,16,0,0.000,1.332e-15,1.064370,0,97,0x123456789abcdef0,178116,90816,6.000
periodic_value_noise,3,4,none,-26,184.960000,false,false,never,false,true,4772,0.031250000,128,0,36,-26,477325,516.839,316626,16,0,0.000,1.332e-15,1.064370,0,129,0x123456789abcdef0,316652,160673,8.000
periodic_value_noise,3,4,none,-18,108.800000,false,false,97,false,true,576,0.250000000,16,12,26,-30,7572,3.582,4856,16,0,0.000,1.332e-15,1.064370,0,17,0xf00dfacecafeb0ba,4856,2698,1.000
periodic_value_noise,3,4,none,-16,152.640000,false,false,97,false,true,1128,0.125000000,32,14,36,-30,27456,15.631,17928,16,0,0.000,1.332e-15,1.064370,0,33,0xf00dfacecafeb0ba,17928,9512,2.000
periodic_value_noise,3,4,none,-28,168.960000,false,false,97,false,true,1656,0.083333333,48,2,36,-30,61740,40.642,40608,16,0,0.000,1.332e-15,1.064370,0,49,0xf00dfacecafeb0ba,40612,21104,3.000
periodic_value_noise,3,4,none,-30,127.040000,false,false,97,false,true,2216,0.062500000,64,0,32,-30,109390,82.556,72188,16,0,0.000,1.332e-15,1.064370,0,65,0xf00dfacecafeb0ba,72188,37172,4.000
periodic_value_noise,3,4,none,-32,159.040000,false,false,97,false,true,2788,0.050000000,80,-2,34,-30,171491,145.623,113398,16,0,0.000,1.332e-15,1.064370,0,81,0xf00dfacecafeb0ba,113404,58061,5.000
periodic_value_noise,3,4,none,-30,180.800000,true,false,97,false,true,3368,0.041666667,96,0,36,-30,247024,234.368,163560,16,0,0.000,1.332e-15,1.064370,0,97,0xf00dfacecafeb0ba,163572,83434,6.000
periodic_value_noise,3,4,none,-30,184.960000,false,false,97,false,true,4484,0.031250000,128,0,36,-30,438283,503.943,290694,16,0,0.000,1.332e-15,1.064370,0,129,0xf00dfacecafeb0ba,290704,147559,8.000
periodic_value_noise,3,4,periodic,-4,160.000000,false,false,never,false,true,0,0.250000000,16,26,32,-30,8028,3.794,5352,16,240,0.000,1.332e-15,1.064370,0,17,0x5eed000000000001,5352,2672,1.000
periodic_value_noise,3,4,periodic,-16,197.440000,false,false,never,false,true,0,0.125000000,32,14,42,-30,29697,16.604,19798,16,477,0.000,1.332e-15,1.064370,0,33,0x5eed000000000001,19798,9883,2.000
periodic_value_noise,3,4,periodic,-26,213.760000,false,false,never,false,true,0,0.083333333,48,4,42,-30,67116,42.682,44744,16,706,0.000,1.332e-15,1.064370,0,49,0x5eed000000000001,44744,22346,3.000
periodic_value_noise,3,4,periodic,-22,178.240000,false,false,never,false,true,0,0.062500000,64,8,38,-30,119367,86.000,79578,16,939,0.000,1.332e-15,1.064370,0,65,0x5eed000000000001,79578,39767,4.000
periodic_value_noise,3,4,periodic,-26,207.040000,false,false,never,false,true,0,0.050000000,80,4,40,-30,187218,151.171,124812,16,1172,0.000,1.332e-15,1.064370,0,81,0x5eed000000000001,124812,62380,5.000
periodic_value_noise,3,4,periodic,-28,224.000000,false,false,never,false,true,0,0.041666667,96,2,42,-30,269877,244.440,179918,16,1417,0.000,1.332e-15,1.064370,0,97,0x5eed000000000001,179918,89931,6.000
periodic_value_noise,3,4,periodic,-30,228.160000,false,false,never,false,true,0,0.031250000,128,0,42,-30,479613,521.252,319742,16,1879,0.000,1.332e-15,1.064370,0,129,0x5eed000000000001,319742,159841,8.000
periodic_value_noise,3,4,periodic,0,160.000000,false,false,never,false,true,0,0.250000000,16,0,32,0,7722,3.738,5148,16,284,0.000,1.332e-15,1.064370,0,17,0x5eed000000000002,5148,2574,1.000
periodic_value_noise,3,4,periodic,2,197.440000,false,false,never,false,true,0,0.125000000,32,2,42,0,28776,16.244,19184,16,544,0.000,1.332e-15,1.064370,0,33,0x5eed000000000002,19184,9594,2.000
periodic_value_noise,3,4,periodic,-2,213.760000,false,false,never,false,true,0,0.083333333,48,-2,42,0,65244,42.046,43496,16,824,0.000,1.332e-15,1.064370,0,49,0x5eed000000000002,43496,21746,3.000
periodic_value_noise,3,4,periodic,-10,178.240000,false,false,never,false,true,0,0.062500000,64,-10,38,0,116508,85.126,77672,16,1084,0.000,1.332e-15,1.064370,0,65,0x5eed000000000002,77672,38826,4.000
periodic_value_noise,3,4,periodic,-4,207.040000,false,false,never,false,true,0,0.050000000,80,-4,40,0,182766,149.708,121844,16,1382,0.000,1.332e-15,1.064370,0,81,0x5eed000000000002,121844,60918,5.000
periodic_value_noise,3,4,periodic,-2,224.000000,false,false,never,false,true,0,0.041666667,96,-2,42,0,263193,241.019,175462,16,1655,0.000,1.332e-15,1.064370,0,97,0x5eed000000000002,175462,87729,6.000
periodic_value_noise,3,4,periodic,0,228.160000,false,false,never,false,true,0,0.031250000,128,0,42,0,468246,517.141,312164,16,2194,0.000,1.332e-15,1.064370,0,129,0x5eed000000000002,312164,156082,8.000
