# experiment P-117 (R-117)
# hypothesis: A RISK AUDIT RATHER THAN AN OPTIMISATION, AND NOBODY HAS CHECKED IT. Shewchuk's error-free transformations are broken by FMA contraction and aarch64 fuses more eagerly than x86-64; M-31's golden hashes have held across both machines, so either nothing on the hot path is contraction-sensitive or the crate has been lucky. What this registration must state about the fixture: M-31's 216 is 8 reference fields x 9 algorithms x 3 resolutions {17, 25, 33} -- golden.rs:73 for the resolutions, :122 for Algorithm::ALL's nine, for_each_reference_field at fields/mod.rs:212 for the eight -- gated by golden_hashes_are_unchanged at golden/tests.rs:59 against crates/isomesh/golden_hashes.json. M-31's own text says 63 hashes, which was T-007's count; 216 is the CURRENT fixture count and the two must not be conflated. The gate is proven able to fire: P-61 moved 135 of the same 216. (C1) At least one expression in crates/isomesh/src/ is contraction-sensitive -- an a*b + c shape whose fused and unfused evaluations differ in the last bit on an input the crate can reach. (C2) The 216 golden hashes are identical on x86_64-unknown-linux-gnu and aarch64-apple-darwin today. (C3) Any divergence found is attributed to a NAMED EXPRESSION and reproduced by an isolated probe, not merely observed at the mesh level. METHOD, fixed at registration so the implementer does not choose it: grep mul_add across crates/isomesh/src/ and record the count, since an explicit mul_add is the only way Rust REQUESTS fusion; confirm by DISASSEMBLY rather than assumption whether the aarch64 build fuses an unfused a*b + c on the extraction path, with scripts/p69_asm.sh as the precedent instrument; and run the 216-hash fixture on mac_air, committing the digest artefact as an INPUT following docs/experiments/p-81-m5-digests.txt and p-83-m5-hashes.txt. SHARE: none. This row moves no time and claims no ratio; it establishes whether a latent divergence exists.
# falsified by: C1 by finding NO contraction-sensitive expression in crates/isomesh/src/ -- which is the outcome to hope for, is worth an afternoon to establish rather than assume, and is expected because rustc does not contract a*b + c by default. If the disassembly confirms no contraction, C1 is falsified WITH A REASON and that reason is the row's deliverable. C2 by any hash differing between the two targets. C3 by a divergence observed only at the mesh level with no named expression behind it. VACUITY CONTROL: the disassembly arm must show a KNOWN-FUSED probe fusing on aarch64 -- column fmadd_in_known_fused_probe must be true on the aarch64 arm -- because a reader that cannot see an fmadd where one must exist cannot claim to see its absence elsewhere. If mac_air is unreachable, C2 is recorded BLOCKED with the reason and C1 and C3 are still delivered from the Linux arm plus the disassembly; a zero-filled peer table is what R-081 shipped and had deleted.
# commit 0e7ae35 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:45:04Z
expression_site,file,line,shape,fused_result,unfused_result,ulp_difference,reachable,target,fmadd_in_known_fused_probe,mul_add_call_sites,hashes_identical,golden_rows,c1_holds,c2_holds,c3_holds,c2_blocker,contracted_in_codegen,control_exact_products_ulp,control_searched_separator_ulp,fma_instructions_binary_total,fma_instructions_in_known_fused_probe,fma_instructions_isomesh_extract,fma_instructions_isomesh_text,fused_value,fusion_variant,golden_cross_machine_identical,golden_hashes_differing,golden_matches_committed_fixture,inputs_differing,inputs_tried,isomesh_extract_symbols_scanned,isomesh_symbols_scanned,known_fused_dispatch_symbol,known_fused_probe_evidence,mul_add_mentions,on_extraction_path,probe,probe_reproduced,product_also_compared,relative_difference,scalar,unfused_value,worst_case_cancels,worst_input
noise::fade,crates/isomesh/src/fields/noise.rs,96,t3 * (t * (t * six - fifteen) + ten),0x3ff28fb955936b90,0x3ff28fb955936b88,8,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,1.16008885791845628e0,fuse-inner,true,0,true,7642,24036,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_fade,true,false,1.53122480857850991e-15,f64,1.16008885791845451e0,false,0x3fee7199e1da93f7;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::perlin_value_accumulation,crates/isomesh/src/fields/noise.rs,168,value += w * dot,0x3f4c857597839487,0x3f4c857597839500,121,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,8.70401780983202293e-4,fuse-product,true,0,true,6302,64096,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_accumulate,true,false,1.50721730742042034e-14,f64,8.70401780983215412e-4,false,0x3fc91227cd036cb2;0x3fdc83335e871c06;0xbfdc032e1ea19864;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::fbm_octave_accumulation,crates/isomesh/src/fields/noise.rs,243,value += amp * v,0x0000000000000000,0x0000000000000000,0,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,0.00000000000000000e0,fuse-product,true,0,true,0,8012,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_accumulate,true,false,0.00000000000000000e0,f64,0.00000000000000000e0,true,0x0000000000000000;0x3ff0000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::fbm_lattice_offset,crates/isomesh/src/fields/noise.rs,237,p[0] * freq + k * R::from_f64(OCTAVE_OFFSET[0]),0xbfc2acc969c1104c,0xbfc2acc969c11050,4,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,-1.45898033750315625e-1,fuse-offset,true,0,true,133,24036,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_two_products,true,false,7.60958181605894278e-16,f64,-1.45898033750315737e-1,false,0xbff0000000000000;0x4000000000000000;0x4008000000000000;0x3fe3c6ef372fe94f;0x0000000000000000;0x0000000000000000
FbmTerrain::sample,crates/isomesh/src/fields/mod.rs,1360,p[1] - (self.base_height + self.amplitude * n),0x3fe9b39051c86540,0x3fe9b39051c86540,0,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,8.03169402820607559e-1,fuse-product,true,0,true,0,2003,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_accumulate,true,false,0.00000000000000000e0,f64,8.03169402820607559e-1,false,0x0000000000000000;0x4000000000000000;0x3fd9b39051c86540;0x0000000000000000;0x0000000000000000;0x0000000000000000
control::exact_products,crates/isomesh/src/fields/noise.rs,145,gv[0] * d[0] + gv[1] * d[1] + gv[2] * d[2],0x0000000000000000,0x0000000000000000,0,true,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,0.00000000000000000e0,fuse-last-add,true,0,true,0,64096,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,true,p117_probe_dot,true,false,0.00000000000000000e0,f64,0.00000000000000000e0,true,0x3ff0000000000000;0x0000000000000000;0x3ff0000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
control::searched_separator,crates/isomesh/benches/experiment_p117.rs,0,a * b + c on a SplitMix64-searched triple,0x3fc292a17c2ec5a5,0x3fc292a17c2ec5a6,1,false,x86_64-unknown-linux-gnu,true,0,true,216,true,true,true,-,false,0,1,2,1,0,0,1.45099816928945163e-1,fuse,true,0,true,470,4096,20,153,_RNvNtNtNtNtNtCs5LhXhEx717y_17compiler_builtins4math9libm_math4arch3x863fma12fma_with_fma,dispatch-to-fma:vfmadd213sd,6,false,p117_probe_written,true,false,1.91286082939861385e-16,f64,1.45099816928945191e-1,false,0x3fd4450087f41ad6;0x3fd0e34af7851254;0x3faf80a10058aee0;0x0000000000000000;0x0000000000000000;0x0000000000000000
cube::place,crates/isomesh/src/cube.rs,234,(lo + hi) * HALF + (hi - lo) * d,0x3f3db231dac27ea3,0x3f3db231dac27f00,93,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,4.53126117244887449e-4,fuse-offset-term,true,0,true,4164,408276,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_place,true,false,1.11261300335352107e-14,f64,4.53126117244892490e-4,false,0x0000000000000000;0x3fc5555555555550;0xbfdfd374b537dc42;0x0000000000000000;0x0000000000000000;0x0000000000000000
marching_cubes::corner_position,crates/isomesh/src/marching_cubes/mod.rs,761,origin[0] + cell_size * R::from_f64(f64::from(base[0] + o[0])),0xbcc0000000000000,0x0000000000000000,4377498837804122113,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,-4.44089209850062616e-16,fuse-product,true,0,true,83936,408276,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,1.00000000000000000e0,f64,0.00000000000000000e0,true,0xc020000000000000;0x3fe5555555555555;0x4028000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
dual::place_vertices,crates/isomesh/src/dual.rs,616,origin[0] + cell_size * R::from_f64(f64::from(x)),0xbcc0000000000000,0x0000000000000000,4377498837804122113,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,-4.44089209850062616e-16,fuse-product,true,0,true,152064,1216512,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,1.00000000000000000e0,f64,0.00000000000000000e0,true,0xc020000000000000;0x3fe5555555555555;0x4028000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
hermite::HermiteCell::from_corners,crates/isomesh/src/hermite.rs,99,cell_origin[axis] + cell_size * place(from; to; d),0xbf33e88bc4195355,0xbf33e88bc4195400,171,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,-3.03777811585794367e-4,fuse-product,true,0,true,5291,408276,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,3.05154893517715782e-14,f64,-3.03777811585803637e-4,false,0xbfc5555555555558;0x3fc5555555555555;0x3feff111972ced06;0x0000000000000000;0x0000000000000000;0x0000000000000000
vec3::dot,crates/isomesh/src/vec3.rs,29,a[0] * b[0] + a[1] * b[1] + a[2] * b[2],0x3feffffffffffffe,0x3ff0000000000000,2,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,9.99999999999999778e-1,fuse-both-adds,true,0,true,23990,136092,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_dot,true,false,2.22044604925031308e-16,f64,1.00000000000000000e0,false,0xbfd557ff0f0dca1c;0xbfd557ff0f0dca1c;0x3fedb14199807ab5;0x3fedb14199807ab5;0x3fc557ff0f0dca14;0x3fc557ff0f0dca14
vec3::cross,crates/isomesh/src/vec3.rs,33,a[1] * b[2] - a[2] * b[1],0x3c7f9add3c0ca458,0x0000000000000000,4359373239303840856,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,2.74129141882754686e-17,fuse-first-product,true,0,true,16731,33121,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_cross,true,false,1.00000000000000000e0,f64,0.00000000000000000e0,true,0x3fdc71c71c71c71d;0x3fec71c71c71c71c;0x3fec71c71c71c71c;0x3fdc71c71c71c71c;0x0000000000000000;0x0000000000000000
solve::Symmetric3::adjugate,crates/isomesh/src/dual_contouring/solve.rs,186,self.yy * self.zz - self.yz * self.yz,0x3f9ee48b9a29bbc0,0x3f9ee48b9a29bb80,64,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,3.01687062114373017e-2,fuse-second-product,true,0,true,19297,33121,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_cross,true,false,7.36009702798761856e-15,f64,3.01687062114370796e-2,false,0x3ffd212d236ef440;0x3ff30ac31a68bf2c;0xbff763232a07da62;0xbff763232a07da62;0x0000000000000000;0x0000000000000000
solve::Symmetric3::determinant,crates/isomesh/src/dual_contouring/solve.rs,217,acc += two * mul_equivariant([xy; yz; xz]),0x3f5cdbba641e8200,0x3f5cdbba641e8200,0,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,1.76137163405354347e-3,fuse-product,true,0,true,0,33121,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,true,0.00000000000000000e0,f64,1.76137163405354347e-3,false,0xbfec08b8e52dfc1f;0x4000000000000000;0x3fdc1726c2600b60;0x0000000000000000;0x0000000000000000;0x0000000000000000
solve::dot_equivariant,crates/isomesh/src/dual_contouring/solve.rs,104,sum_equivariant([a[0]*b[0]; a[1]*b[1]; a[2]*b[2]]),0x39e1b80000000000,0x39e1c00000000000,8796093022208,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,6.98881458219240146e-30,fuse-into-sorted-sum,true,0,true,65270,136092,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_dot_equivariant,true,true,1.76056338028169018e-3,f64,7.00114053383647977e-30,false,0xbfbc71c71c71c663;0x3ce8000000000000;0xbfdc71c71c71c720;0xbcb0000000000000;0xbfec71c71c71c720;0xbcb0000000000000
predicates::two_product,crates/isomesh/src/predicates.rs,104,y = (a_lo * b_lo) - err3 -- the whole Shewchuk roundoff,0x0000000000000000,0x0000000000000000,0,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,0.00000000000000000e0,fuse-every-cross-product,true,0,true,0,33121,9,96,p117_probe_known_fused,fmadd,6,false,p117_probe_two_product_err,true,false,0.00000000000000000e0,f64,0.00000000000000000e0,true,0xbfdad616c553001c;0xbfe8000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::fade,crates/isomesh/src/fields/noise.rs,96,t3 * (t * (t * six - fifteen) + ten),0x3ff28fb955936b90,0x3ff28fb955936b88,8,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,1.16008885791845628e0,fuse-inner,true,0,true,7642,24036,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_fade,true,false,1.53122480857850991e-15,f64,1.16008885791845451e0,false,0x3fee7199e1da93f7;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::perlin_value_accumulation,crates/isomesh/src/fields/noise.rs,168,value += w * dot,0x3f4c857597839487,0x3f4c857597839500,121,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,8.70401780983202293e-4,fuse-product,true,0,true,6302,64096,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,1.50721730742042034e-14,f64,8.70401780983215412e-4,false,0x3fc91227cd036cb2;0x3fdc83335e871c06;0xbfdc032e1ea19864;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::fbm_octave_accumulation,crates/isomesh/src/fields/noise.rs,243,value += amp * v,0x0000000000000000,0x0000000000000000,0,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,0.00000000000000000e0,fuse-product,true,0,true,0,8012,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,0.00000000000000000e0,f64,0.00000000000000000e0,true,0x0000000000000000;0x3ff0000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
noise::fbm_lattice_offset,crates/isomesh/src/fields/noise.rs,237,p[0] * freq + k * R::from_f64(OCTAVE_OFFSET[0]),0xbfc2acc969c1104c,0xbfc2acc969c11050,4,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,-1.45898033750315625e-1,fuse-offset,true,0,true,133,24036,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_two_products,true,false,7.60958181605894278e-16,f64,-1.45898033750315737e-1,false,0xbff0000000000000;0x4000000000000000;0x4008000000000000;0x3fe3c6ef372fe94f;0x0000000000000000;0x0000000000000000
FbmTerrain::sample,crates/isomesh/src/fields/mod.rs,1360,p[1] - (self.base_height + self.amplitude * n),0x3fe9b39051c86540,0x3fe9b39051c86540,0,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,8.03169402820607559e-1,fuse-product,true,0,true,0,2003,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_accumulate,true,false,0.00000000000000000e0,f64,8.03169402820607559e-1,false,0x0000000000000000;0x4000000000000000;0x3fd9b39051c86540;0x0000000000000000;0x0000000000000000;0x0000000000000000
control::exact_products,crates/isomesh/src/fields/noise.rs,145,gv[0] * d[0] + gv[1] * d[1] + gv[2] * d[2],0x0000000000000000,0x0000000000000000,0,true,aarch64-apple-darwin,true,0,true,216,true,true,true,-,false,0,1,24,1,0,0,0.00000000000000000e0,fuse-last-add,true,0,true,0,64096,9,96,p117_probe_known_fused,fmadd,6,true,p117_probe_dot,true,false,0.00000000000000000e0,f64,0.00000000000000000e0,true,0x3ff0000000000000;0x0000000000000000;0x3ff0000000000000;0x0000000000000000;0x0000000000000000;0x0000000000000000
