# experiment P-175 (R-175)
# hypothesis: Intrinsic triangulations improve connectivity quality while leaving every vertex where it is -- the corpus holds Gillespie, Sharp & Crane on integer coordinates at 0.677 and the intrinsic-parameterisation paper at 0.676, and intrinsic Delaunay, signpost and Soliman are zero in the repo. That property is unusually valuable here specifically: this crate commits 216 golden hashes on vertex positions, and a method that cannot move a position cannot move a hash. (C1) Intrinsic Delaunay flipping raises the minimum triangle angle materially -- at least 10 deg on the worst decile -- on at least four fields. (C2) Zero vertex positions move and zero position hashes move, asserted rather than assumed. (C3) THE HONEST FALSIFIER IS STATED AT REGISTRATION: intrinsic flips leave the extrinsic surface bit-identical, so if every downstream consumer reads extrinsic triangles, nothing measurable changes -- and whether any consumer benefits is C3's question, answered by naming one or reporting none. SHARE: C1 moves mesh quality, not cost; C3 decides whether that quality reaches anything.
# falsified by: C1 by under 10 deg. C2 by any hash movement, which would mean the implementation is not intrinsic. C3 by no consumer benefiting, which closes the row and is a likely outcome worth reaching cheaply. VACUITY CONTROL: the worst-decile angle before flipping must be below 15 deg on at least one field, or there are no slivers to fix.
# commit 320946e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:18Z
field,resolution,slivers_before,slivers_after,min_angle_before,min_angle_after,flips,vertex_positions_moved,hashes_moved,extrinsic_geometry_identical,flip_ms,c1_holds,c2_holds,c3_holds,boundary_edges,build_ms,c1_fields,c1_run,c3_consumers_benefiting,c3_consumers_surveyed,control_hash_moved,degenerate_triangles,flip_budget,flip_budget_exhausted,flip_ms_max,flip_ms_min,flips_rejected,global_min_angle_after,global_min_angle_before,inconsistently_oriented_edges,interior_edges,min_angle_gain,min_angle_statistic,non_delaunay_after,non_delaunay_before,non_manifold_edges,p10_min_angle_after,p10_min_angle_before,short_edge_slivers_after,shortest_edge_over_cell,sliver_threshold_degrees,triangles,vertices,zero_length_edges
csg_difference,25,39,39,23.590461,24.138512,67,0,0,true,0.084440,false,true,false,0,0.099521,0,false,0,8,true,0,141312,false,0.089351,0.082101,0,0.366700,0.356163,0,2208,0.548051,worst_decile_mean_degrees,0,62,0,35.264390,35.264390,9,0.009552,15.000000,1472,738,0
csg_difference,33,55,48,24.369939,24.911145,119,0,0,true,0.165681,false,true,false,0,0.244431,0,false,0,8,true,0,265728,false,0.169392,0.163612,0,1.751203,1.726627,0,4152,0.541206,worst_decile_mean_degrees,0,109,0,35.264390,35.264390,0,0.052438,15.000000,2768,1386,0
thin_plate,17,0,0,44.964235,44.964235,0,0,0,true,0.011831,false,true,false,0,0.012660,0,false,0,8,false,0,23808,false,0.011901,0.011800,0,44.964235,44.964235,0,372,0.000000,worst_decile_mean_degrees,0,0,0,44.964235,44.964235,0,1.000000,15.000000,248,126,0
thin_plate,25,0,0,44.919654,44.919654,0,0,0,true,0.027060,false,true,false,0,0.029690,0,false,0,8,false,0,54528,false,0.027351,0.027020,0,44.919654,44.919654,0,852,0.000000,worst_decile_mean_degrees,0,0,0,44.919654,44.919654,0,1.000000,15.000000,568,286,0
thin_plate,33,0,0,44.857473,44.857473,0,0,0,true,0.047981,false,true,false,0,0.054340,0,false,0,8,false,0,97536,false,0.048050,0.047940,0,44.857473,44.857473,0,1524,0.000000,worst_decile_mean_degrees,0,0,0,44.857473,44.857473,0,1.000000,15.000000,1016,510,0
gyroid,17,438,378,4.545798,4.862544,623,0,0,true,0.307473,false,true,false,0,0.254141,0,false,0,8,true,4,243456,false,0.310112,0.303623,0,0.138633,0.126854,0,3804,0.316745,worst_decile_mean_degrees,0,534,0,10.935693,9.646705,99,0.000000,15.000000,2536,1260,0
gyroid,25,1238,1095,3.189870,3.905845,1616,0,0,true,0.756495,false,true,false,0,0.640894,0,false,0,8,true,4,564864,false,0.764565,0.753716,0,0.246361,0.208118,0,8826,0.715975,worst_decile_mean_degrees,0,1329,0,8.571449,7.325589,243,0.000000,15.000000,5884,2940,0
gyroid,33,2410,2181,3.689101,4.377629,3029,0,0,true,1.356010,false,true,false,0,1.180058,0,false,0,8,true,4,1020672,false,1.358169,1.349030,0,0.017120,0.011767,0,15948,0.688528,worst_decile_mean_degrees,0,2487,0,8.788502,7.006634,222,0.000000,15.000000,10632,5292,0
fbm_terrain,17,216,185,3.407328,4.160941,276,0,0,true,0.107181,false,true,false,92,0.073321,0,false,0,8,true,0,88832,false,0.117831,0.101770,0,0.266112,0.265089,0,1388,0.753613,worst_decile_mean_degrees,0,218,0,7.942481,6.346040,30,0.004655,15.000000,956,525,0
fbm_terrain,25,398,346,4.314175,5.413441,581,0,0,true,0.261041,false,true,false,138,0.208462,0,false,0,8,true,0,204096,false,0.266052,0.257282,0,0.030712,0.027679,0,3189,1.099265,worst_decile_mean_degrees,0,498,0,10.339395,8.596015,44,0.000542,15.000000,2172,1156,0
fbm_terrain,33,790,685,4.164049,5.078875,1021,0,0,true,0.478933,false,true,false,190,0.413513,0,false,0,8,true,0,372736,false,0.484463,0.477094,0,0.003927,0.003642,0,5824,0.914826,worst_decile_mean_degrees,0,856,0,9.687234,7.925756,91,0.000095,15.000000,3946,2069,0
noise_cavity,17,435,313,5.602390,7.169275,652,0,0,true,0.322452,false,true,false,0,0.257162,0,false,0,8,true,54,245760,false,0.328722,0.320262,0,0.024783,0.022655,0,3840,1.566885,worst_decile_mean_degrees,0,517,0,12.750982,10.057177,44,0.000000,15.000000,2560,1250,0
noise_cavity,25,1197,981,3.803209,5.002445,1860,0,0,true,0.913447,false,true,false,0,0.775426,0,false,0,8,true,96,673536,false,1.015348,0.909606,0,0.000000,0.000000,0,10524,1.199235,worst_decile_mean_degrees,0,1498,0,11.048732,8.716387,247,0.000000,15.000000,7016,3430,0
noise_cavity,33,2334,1990,4.990833,6.217799,3403,0,0,true,1.684563,false,true,false,0,1.490300,0,false,0,8,true,68,1270656,false,1.689993,1.678123,0,0.029093,0.024863,0,19854,1.226966,worst_decile_mean_degrees,0,2858,0,10.361240,9.081182,229,0.000000,15.000000,13236,6522,0
