# experiment P-136 (R-136)
# hypothesis: THIS ROW EXISTS TO STOP AN OVERCLAIM BEFORE SOMEBODY MAKES IT. It is tempting to read Group A as 'the 730-subcase table becomes a corollary of an invariant'. It does not, and the registration says why in advance: sign(Delta) counts hyperbola intersections in the plane of a pencil, and the interior test asks which side of the surface a tunnel opens on, which is a different question with a different answer. (C1) Over the configurations M-165 identifies (Chernyaev's numerator-only test wrong on 1,966 of 15,6xx), sign(Delta) alone agrees with the correct interior verdict on strictly fewer than all of them, and the disagreement set is characterised. (C2) The classes where Delta is insufficient are named explicitly, so the boundary is in the ledger rather than in somebody's head. SHARE: none -- this is a negative result registered before its positive twin can be believed.
# falsified by: C1 by full agreement, which would be a major and unexpected win and would justify reopening the A-002 interior line entirely. C2 by an uncharacterisable disagreement set, which would mean the instrument is too coarse. VACUITY CONTROL: the configuration set must reproduce M-165's 12.6% disagreement rate as a control column, or the fixture is not the population M-165 measured.
# commit e9bf133 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:09:08Z
configuration_class,delta_sign,interior_test_verdict,agreement_rate,cases_where_delta_insufficient,chernyaev_disagreement_overlap,c1_holds,c2_holds,base_rate,best_rule_wrong,best_sign_rule,case_index,chernyaev_disagreement_rate,chernyaev_wrong,class_is_delta_insufficient,configurations,decider_classes_observed,delta_blind_to_face_negation,delta_information_gain,delta_insufficient_classes,delta_neg,delta_pos,delta_zero,endpoint_condition_population,is_control,joined_count,m165_rate_error,m165_rate_registered,m165_rate_reproduced,natural_rule_rate,overlap_of_chernyaev_wrong,overlap_of_delta_wrong,partition,poled,population_agreement_rate,population_base_rate,population_delta_insufficient,population_information_gain,separated_count,separated_inside_endpoint_condition,verdict_is_constant,wall_ns
case150/dm47,pos,joined|separated,0.940606,0|31|47|63,49,true,true,0.940606,49,pos->joined,150,0.059394,49,true,825,14,true,0.000000,4,0,825,0,246,false,776,0.000176,0.126000,0.125824,0.940606,49/49,49/49,decider_mask,825,0.985600,0.985600,225,0.000000,49,true,false,2265297
case150/dm53,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.000000,0,false,268,14,true,0.000000,4,0,268,0,268,false,268,0.000176,0.126000,0.125824,1.000000,0/0,0/0,decider_mask,268,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm58,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.000000,0,false,268,14,true,0.000000,4,0,268,0,268,false,268,0.000176,0.126000,0.125824,1.000000,0/0,0/0,decider_mask,268,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm63,pos,joined|separated,0.964993,0|31|47|63,99,true,true,0.964993,99,pos->joined,150,0.035007,99,true,2828,14,true,0.000000,4,0,2828,0,2828,false,2729,0.000176,0.126000,0.125824,0.964993,99/99,99/99,decider_mask,2828,0.985600,0.985600,225,0.000000,99,true,false,2265297
case150/delta_neg,neg,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,neg->joined,150,1.000000,1308,false,1308,14,true,0.000000,4,1308,0,0,0,false,1308,0.000176,0.126000,0.125824,0.000000,0/1308,0/0,delta_sign,1308,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/delta_zero,zero,joined|separated,0.854054,0|31|47|63,0,true,true,0.854054,27,zero->joined,150,0.410811,76,true,185,14,true,0.000000,4,0,0,185,29,false,158,0.000176,0.126000,0.125824,0.145946,0/76,0/27,delta_sign,185,0.985600,0.985600,225,0.000000,27,true,false,2265297
case150/delta_pos,pos,joined|separated,0.985989,0|31|47|63,198,true,true,0.985989,198,pos->joined,150,0.041183,582,true,14132,14,true,0.000000,4,0,14132,0,4460,false,13934,0.000176,0.126000,0.125824,0.985989,198/582,198/198,delta_sign,14132,0.985600,0.985600,225,0.000000,198,true,false,2265297
case150/all,neg|zero|pos,joined|separated,0.985600,0|31|47|63,198,true,true,0.985600,225,neg->joined|zero->joined|pos->joined,150,0.125824,1966,true,15625,14,true,0.000000,4,1308,14132,185,4489,false,15400,0.000176,0.126000,0.125824,0.893504,198/1966,198/225,population,15625,0.985600,0.985600,225,0.000000,225,true,false,2265297
control/base_rate,unread,joined|separated,0.985600,0|31|47|63,198,true,true,0.985600,225,neg->joined|zero->joined|pos->joined,150,0.125824,1966,true,15625,14,true,0.000000,4,1308,14132,185,4489,true,15400,0.000176,0.126000,0.125824,0.893504,198/1966,198/225,control,15625,0.985600,0.985600,225,0.000000,225,true,false,2265297
control/aligned_no_pole,neg|zero|pos,joined|separated,0.821824,0|31|47|63,0,true,true,0.736768,2784,neg->separated|zero->separated|pos->joined,102,0.000000,0,true,15625,14,true,0.085056,4,1308,14132,185,4489,true,11512,0.000176,0.126000,0.125824,0.821824,0/0,0/2784,control,0,0.985600,0.985600,225,0.000000,4113,true,false,2265297
