# experiment P-21 (R-024)
# hypothesis: A freshly extracted mesh separates exactly the sample pairs the field's own sign separates. For every 6-adjacent pair of grid samples, the mesh crosses the segment between them an ODD number of times when the two samples straddle the surface and an EVEN number when they do not -- so the connected components of the air sublevel set and the components of the same samples under mesh-cut adjacency agree in count and in partition. Marching Cubes achieves this on all eight reference fields, because its vertex is the root of the interpolant along the very edge being probed. At least one dual method does not, because it places its vertex by solve.
# falsified by: Universal agreement -- every extractor sealing every field at every resolution, which would be a stronger correctness statement than this crate currently makes and is worth saying so. Separately falsified, and more interestingly, by Marching Cubes disagreeing: that would put the defect in the primal path, where the crossing is on the interpolant by construction, and would mean the failure is in triangulation rather than in vertex placement.
# commit 6c624e4 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-17T00:00:04Z
field,extractor,samples_per_axis,field_air_components,mesh_air_components,unsealed_walls,spurious_walls,mixed_regions,agrees,boundary_samples,coplanar_probes,degenerate_probes,degenerate_triangles,endpoint_crossings,field_walls,merged_crossings,mesh_walls,probes,triangles,unsealed_on_domain_face
box_exact,marching_cubes+decider,17,387,387,0,0,0,true,386,19872,1548,0,924,0,3540,0,13872,584,0
box_exact,marching_tetrahedra,17,387,387,0,0,0,true,386,25200,1548,1512,948,0,3588,0,13872,2184,0
box_exact,surface_nets,17,387,387,0,0,0,true,386,12000,1548,0,300,0,444,0,13872,588,0
box_exact,dual_contouring,17,387,387,0,0,0,true,386,0,1548,0,150,0,162,0,13872,588,0
box_exact,manifold_dual_contouring,17,387,387,0,0,0,true,386,0,1548,0,150,0,162,0,13872,588,0
box_exact,subgrid_marching_tetrahedra,17,387,387,0,0,0,true,386,25200,1548,0,948,0,3588,0,13872,672,0
box_exact,marching_cubes,25,867,867,0,0,0,true,866,54120,3468,0,1882,0,6384,0,45000,1448,0
box_exact,marching_cubes+decider,25,867,867,0,0,0,true,866,54120,3468,0,1882,0,6384,0,45000,1448,0
box_exact,marching_tetrahedra,25,867,867,0,0,0,true,866,61416,3468,3960,1908,0,6471,0,45000,5544,0
box_exact,surface_nets,25,867,867,0,0,0,true,866,38880,3468,0,888,0,288,0,45000,1452,0
box_exact,dual_contouring,25,867,867,0,0,0,true,866,0,3468,0,486,0,90,0,45000,1452,0
box_exact,manifold_dual_contouring,25,867,867,0,0,0,true,866,0,3468,0,486,0,90,0,45000,1452,0
box_exact,subgrid_marching_tetrahedra,25,867,867,0,0,0,true,866,61416,3468,0,1908,0,6471,0,45000,1584,0
box_exact,marching_cubes,33,1539,1539,0,0,0,true,1538,100128,6156,0,3420,0,14868,0,104544,2696,0
box_exact,marching_cubes+decider,33,1539,1539,0,0,0,true,1538,100128,6156,0,3420,0,14868,0,104544,2696,0
box_exact,marching_tetrahedra,33,1539,1539,0,0,0,true,1538,111600,6156,7560,3444,0,14916,0,104544,10440,0
box_exact,surface_nets,33,1539,1539,0,0,0,true,1538,81120,6156,0,2028,0,2364,0,104544,2700,0
box_exact,dual_contouring,33,1539,1539,0,0,0,true,1538,0,6156,0,1014,0,1026,0,104544,2700,0
box_exact,manifold_dual_contouring,33,1539,1539,0,0,0,true,1538,0,6156,0,1014,0,1026,0,104544,2700,0
box_exact,subgrid_marching_tetrahedra,33,1539,1539,0,0,0,true,1538,111600,6156,0,3444,0,14916,0,104544,2880,0
csg_difference,marching_cubes,17,338,338,0,0,0,true,337,16032,1368,0,858,45,3315,45,13872,584,0
csg_difference,marching_cubes+decider,17,338,338,0,0,0,true,337,16032,1368,0,858,45,3315,45,13872,584,0
csg_difference,marching_tetrahedra,17,338,338,0,0,0,true,337,20256,1368,1242,912,45,3609,45,13872,2184,0
csg_difference,surface_nets,17,338,338,0,0,0,true,337,8400,1368,0,210,45,345,45,13872,588,0
csg_difference,dual_contouring,17,338,338,0,0,0,true,337,0,1368,0,105,45,124,45,13872,588,0
csg_difference,manifold_dual_contouring,17,338,338,0,0,0,true,337,0,1368,0,105,45,124,45,13872,588,0
csg_difference,subgrid_marching_tetrahedra,17,338,338,0,0,0,true,337,20856,1368,0,912,45,3597,45,13872,960,0
csg_difference,marching_cubes,25,764,764,0,0,0,true,763,45834,3078,0,1732,111,5933,111,45000,1472,0
csg_difference,marching_cubes+decider,25,764,764,0,0,0,true,763,45834,3078,0,1732,111,5933,111,45000,1472,0
csg_difference,marching_tetrahedra,25,764,764,0,0,0,true,763,51612,3078,3366,1800,111,6370,111,45000,5568,0
csg_difference,surface_nets,25,764,764,0,0,0,true,763,30960,3078,0,690,111,225,111,45000,1476,0
csg_difference,dual_contouring,25,764,764,0,0,0,true,763,0,3078,0,387,111,84,111,45000,1476,0
csg_difference,manifold_dual_contouring,25,764,764,0,0,0,true,763,0,3078,0,387,111,84,111,45000,1476,0
csg_difference,subgrid_marching_tetrahedra,25,764,764,0,0,0,true,763,52560,3078,0,1803,111,6386,111,45000,2232,0
csg_difference,marching_cubes,33,1355,1355,0,0,0,true,1354,84984,5448,0,3102,219,14127,219,104544,2768,0
csg_difference,marching_cubes+decider,33,1355,1355,0,0,0,true,1354,84984,5448,0,3102,219,14127,219,104544,2768,0
csg_difference,marching_tetrahedra,33,1355,1355,0,0,0,true,1354,94992,5448,6474,3192,219,14793,219,104544,10572,0
csg_difference,surface_nets,33,1355,1355,0,0,0,true,1354,66480,5448,0,1662,219,1977,219,104544,2772,0
csg_difference,dual_contouring,33,1355,1355,0,0,0,true,1354,0,5448,0,831,219,858,219,104544,2772,0
csg_difference,manifold_dual_contouring,33,1355,1355,0,0,0,true,1354,0,5448,0,831,219,858,219,104544,2772,0
csg_difference,subgrid_marching_tetrahedra,33,1355,1355,0,0,0,true,1354,97116,5448,0,3192,219,14664,219,104544,4170,0
thin_plate,marching_cubes,17,33,33,0,0,0,true,32,384,160,0,128,98,1030,98,13872,248,0
thin_plate,marching_cubes+decider,17,33,33,0,0,0,true,32,384,160,0,128,98,1030,98,13872,248,0
thin_plate,marching_tetrahedra,17,33,33,0,0,0,true,32,600,160,48,132,98,1244,98,13872,888,0
thin_plate,surface_nets,17,33,33,0,0,0,true,32,64,160,0,0,98,118,98,13872,252,0
thin_plate,dual_contouring,17,33,33,0,0,0,true,32,0,160,0,0,98,54,98,13872,252,0
thin_plate,manifold_dual_contouring,17,33,33,0,0,0,true,32,0,160,0,0,98,54,98,13872,252,0
thin_plate,subgrid_marching_tetrahedra,17,33,33,0,0,0,true,32,600,160,0,132,98,1268,98,13872,840,0
thin_plate,marching_cubes,25,49,49,0,0,0,true,48,656,240,0,192,242,1759,242,45000,568,0
thin_plate,marching_cubes+decider,25,49,49,0,0,0,true,48,656,240,0,192,242,1759,242,45000,568,0
thin_plate,marching_tetrahedra,25,49,49,0,0,0,true,48,970,240,80,195,242,2076,242,45000,2104,0
thin_plate,surface_nets,25,49,49,0,0,0,true,48,64,240,0,0,242,54,242,45000,572,0
thin_plate,dual_contouring,25,49,49,0,0,0,true,48,0,240,0,0,242,32,242,45000,572,0
thin_plate,manifold_dual_contouring,25,49,49,0,0,0,true,48,0,240,0,0,242,32,242,45000,572,0
thin_plate,subgrid_marching_tetrahedra,25,49,49,0,0,0,true,48,2746,240,0,195,242,2090,242,45000,2204,0
thin_plate,marching_cubes,33,65,65,0,0,0,true,64,896,320,0,256,450,3430,450,104544,1016,0
thin_plate,marching_cubes+decider,33,65,65,0,0,0,true,64,896,320,0,256,450,3430,450,104544,1016,0
thin_plate,marching_tetrahedra,33,65,65,0,0,0,true,64,1320,320,112,260,450,3889,450,104544,3832,0
thin_plate,surface_nets,33,65,65,0,0,0,true,64,64,320,0,0,450,502,450,104544,1020,0
thin_plate,dual_contouring,33,65,65,0,0,0,true,64,0,320,0,0,450,342,450,104544,1020,0
thin_plate,manifold_dual_contouring,33,65,65,0,0,0,true,64,0,320,0,0,450,342,450,104544,1020,0
thin_plate,subgrid_marching_tetrahedra,33,65,65,0,0,0,true,64,3700,320,0,260,450,3886,450,104544,3964,0
gyroid,marching_cubes,17,2,2,0,0,0,true,1,0,6,4,6,1257,6091,1257,13872,2536,0
gyroid,marching_cubes+decider,17,2,2,0,0,0,true,1,0,6,4,6,1257,6100,1257,13872,2536,0
gyroid,marching_tetrahedra,17,2,2,0,0,0,true,1,0,6,12,6,1257,7087,1257,13872,7044,0
gyroid,surface_nets,17,2,2,0,0,0,true,1,0,6,0,6,1257,42,1257,13872,2520,0
gyroid,dual_contouring,17,2,2,0,0,0,true,1,0,12,0,6,1251,4,1251,13872,2520,0
gyroid,manifold_dual_contouring,17,2,2,0,0,0,true,1,0,15,0,9,1248,3,1248,13872,2520,0
gyroid,subgrid_marching_tetrahedra,17,2,2,0,0,0,true,1,12387,6,0,6,1257,7145,1257,13872,8076,0
gyroid,marching_cubes,25,2,2,0,0,0,true,1,0,6,4,6,2937,13511,2937,45000,5884,0
gyroid,marching_cubes+decider,25,2,2,0,0,0,true,1,0,6,4,6,2937,13558,2937,45000,5928,0
gyroid,marching_tetrahedra,25,2,2,0,0,0,true,1,0,6,12,6,2937,15876,2937,45000,16728,0
gyroid,surface_nets,25,2,2,0,0,0,true,1,0,6,0,6,2937,41,2937,45000,5880,0
gyroid,dual_contouring,25,2,2,0,0,0,true,1,0,12,0,6,2931,16,2931,45000,5880,0
gyroid,manifold_dual_contouring,25,2,2,0,0,0,true,1,0,12,0,6,2931,13,2931,45000,5880,0
gyroid,subgrid_marching_tetrahedra,25,2,2,0,0,0,true,1,17163,6,0,6,2937,15854,2937,45000,18240,0
gyroid,marching_cubes,33,2,2,0,0,0,true,1,0,6,4,6,5289,25704,5289,104544,10632,0
gyroid,marching_cubes+decider,33,2,2,0,0,0,true,1,0,6,4,6,5289,25700,5289,104544,10632,0
gyroid,marching_tetrahedra,33,2,2,0,0,0,true,1,0,6,12,6,5289,29423,5289,104544,30492,0
gyroid,surface_nets,33,2,2,0,0,0,true,1,0,6,0,6,5289,148,5289,104544,10584,0
gyroid,dual_contouring,33,2,2,0,0,0,true,1,0,18,0,12,5277,28,5277,104544,10584,0
gyroid,manifold_dual_contouring,33,2,2,0,0,0,true,1,0,15,0,9,5280,31,5280,104544,10584,0
gyroid,subgrid_marching_tetrahedra,33,2,2,0,0,0,true,1,23594,6,0,6,5289,29366,5289,104544,32364,0
fbm_terrain,marching_cubes,17,1,1,0,0,0,true,0,0,0,0,0,525,2343,525,13872,956,0
fbm_terrain,marching_cubes+decider,17,1,1,0,0,0,true,0,0,0,0,0,525,2343,525,13872,956,0
fbm_terrain,marching_tetrahedra,17,1,1,0,0,0,true,0,0,0,0,0,525,2753,525,13872,2836,0
fbm_terrain,surface_nets,17,1,1,92,0,1,false,0,0,0,0,0,525,8,433,13872,866,92
fbm_terrain,dual_contouring,17,1,1,92,0,1,false,0,0,9,0,9,516,1,424,13872,866,92
fbm_terrain,manifold_dual_contouring,17,1,1,92,0,1,false,0,0,10,0,10,515,1,423,13872,866,92
fbm_terrain,subgrid_marching_tetrahedra,17,1,1,4,0,1,false,0,7065,0,8,0,525,2768,521,13872,3340,1
fbm_terrain,marching_cubes,25,1,1,0,0,0,true,0,0,0,0,0,1156,4922,1156,45000,2172,0
fbm_terrain,marching_cubes+decider,25,1,1,0,0,0,true,0,0,0,0,0,1156,4925,1156,45000,2172,0
fbm_terrain,marching_tetrahedra,25,1,1,0,0,0,true,0,0,0,0,0,1156,5734,1156,45000,6352,0
fbm_terrain,surface_nets,25,1,1,138,0,1,false,0,0,0,0,0,1156,7,1018,45000,2036,138
fbm_terrain,dual_contouring,25,1,1,138,0,1,false,0,0,14,0,14,1142,0,1004,45000,2036,138
fbm_terrain,manifold_dual_contouring,25,1,1,138,0,1,false,0,0,14,0,14,1142,0,1004,45000,2036,138
fbm_terrain,subgrid_marching_tetrahedra,25,1,1,3,3,1,false,0,12762,0,2,0,1156,5696,1156,45000,7196,1
fbm_terrain,marching_cubes,33,1,1,0,0,0,true,0,0,2,0,2,2067,9769,2067,104544,3946,0
fbm_terrain,marching_cubes+decider,33,1,1,0,0,0,true,0,0,2,0,2,2067,9769,2067,104544,3946,0
fbm_terrain,marching_tetrahedra,33,1,1,0,0,0,true,0,0,2,0,2,2067,11541,2067,104544,11544,0
fbm_terrain,surface_nets,33,1,1,190,0,1,false,0,0,0,0,0,2069,52,1879,104544,3758,190
fbm_terrain,dual_contouring,33,1,1,190,0,1,false,0,0,27,0,27,2042,5,1852,104544,3758,190
fbm_terrain,manifold_dual_contouring,33,1,1,190,0,1,false,0,0,27,0,27,2042,6,1852,104544,3758,190
fbm_terrain,subgrid_marching_tetrahedra,33,1,1,4,0,1,false,0,20242,3,0,3,2066,11404,2062,104544,12736,0
noise_cavity,marching_cubes,17,72,72,0,0,0,true,27,0,162,54,156,1194,7345,1194,13872,2560,0
noise_cavity,marching_cubes+decider,17,72,72,0,0,0,true,27,40,162,60,156,1194,6668,1194,13872,2380,0
noise_cavity,marching_tetrahedra,17,72,72,0,0,0,true,27,0,162,212,162,1194,9078,1194,13872,6488,0
noise_cavity,surface_nets,17,72,72,0,0,0,true,27,0,162,0,24,1194,111,1194,13872,2500,0
noise_cavity,dual_contouring,17,72,72,0,0,0,true,27,0,210,0,49,1146,10,1146,13872,2500,0
noise_cavity,manifold_dual_contouring,17,72,72,0,0,0,true,27,0,221,0,60,1135,13,1135,13872,2500,0
noise_cavity,subgrid_marching_tetrahedra,17,72,72,3,0,1,false,27,55983,163,2,163,1193,10379,1190,13872,11682,0
noise_cavity,marching_cubes,25,133,133,0,0,0,true,46,161,395,169,383,3212,17007,3212,45000,7016,0
noise_cavity,marching_cubes+decider,25,133,133,0,0,0,true,46,170,395,176,383,3212,16169,3212,45000,6734,0
noise_cavity,marching_tetrahedra,25,133,133,0,0,0,true,46,1368,396,557,390,3212,20632,3212,45000,18236,0
noise_cavity,surface_nets,25,133,133,0,0,0,true,46,16,392,1,194,3231,322,3231,45000,6860,0
noise_cavity,dual_contouring,25,133,133,0,0,0,true,46,0,422,0,149,3182,13,3182,45000,6860,0
noise_cavity,manifold_dual_contouring,25,133,133,0,0,0,true,46,0,445,0,174,3159,14,3159,45000,6860,0
noise_cavity,subgrid_marching_tetrahedra,25,133,133,3,9,1,false,46,83708,394,168,394,3219,21067,3225,45000,25088,0
noise_cavity,marching_cubes,33,93,93,0,0,0,true,27,16,162,68,156,6461,34026,6461,104544,13236,0
noise_cavity,marching_cubes+decider,33,93,93,0,0,0,true,27,16,162,70,156,6461,33278,6461,104544,13052,0
noise_cavity,marching_tetrahedra,33,93,93,0,0,0,true,27,0,162,222,162,6461,40946,6461,104544,35832,0
noise_cavity,surface_nets,33,93,93,0,0,0,true,27,0,162,0,60,6461,310,6461,104544,13044,0
noise_cavity,dual_contouring,33,93,93,0,0,0,true,27,0,361,0,200,6262,55,6262,104544,13044,0
noise_cavity,manifold_dual_contouring,33,93,93,0,0,0,true,27,0,362,0,201,6261,53,6261,104544,13044,0
noise_cavity,subgrid_marching_tetrahedra,33,93,93,4,0,1,false,27,114101,162,2,162,6461,40988,6457,104544,45082,0
