thin_plate,65,8.000000,1x1x8,0,0,0,0|196600|65544,0|196600|65544,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,196600,500,0.000e0,77440000,120,500,378,65544,0,144,500,0.000e0,2,39484,false,0x0128a15ca1e50f87,2048,254,2046,62,1583274538
gyroid,33,1.000000,1x1x1,8979,8979,0,2366|0|30402,2366|0|30402,0,exact_500of500|f64max_0.000e0,true,true,32768,6399,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,5240,5292,5292,0,1583274538
gyroid,33,4.000000,1x2x4,8979,8979,0,2366|0|30402,2366|0|30402,0,exact_500of500|f64max_0.000e0,true,true,32768,6399,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,5240,1396,5292,1390,1583274538
gyroid,33,8.000000,1x1x8,8979,8979,0,2366|0|30402,2366|0|30402,0,exact_500of500|f64max_0.000e0,true,true,32768,6399,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,5240,1504,5292,1341,1583274538
gyroid,65,1.000000,1x1x1,37653,37653,0,16021|0|246123,16021|0|246123,0,exact_500of500|f64max_0.000e0,true,true,262144,28768,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,21432,21534,21534,0,1583274538
gyroid,65,4.000000,1x2x4,37653,37653,0,16021|0|246123,16021|0|246123,0,exact_500of500|f64max_0.000e0,true,true,262144,28768,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,21432,6052,21534,6046,1583274538
gyroid,65,8.000000,1x1x8,37653,37653,0,16021|0|246123,16021|0|246123,0,exact_500of500|f64max_0.000e0,true,true,262144,28768,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,21432,7880,21534,7537,1583274538
fbm_terrain,33,1.000000,1x1x1,10825,10825,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,10186,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,1958,2069,2069,0,1583274538
fbm_terrain,33,4.000000,1x2x4,10825,10825,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,10186,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1958,1975,2069,1969,1583274538
fbm_terrain,33,8.000000,1x1x8,10825,10825,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,10186,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1958,2773,2069,2728,1583274538
fbm_terrain,65,1.000000,1x1x1,59521,59521,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,57663,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,8413,8638,8638,0,1583274538
fbm_terrain,65,4.000000,1x2x4,59521,59521,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,57663,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,8413,8766,8638,8760,1583274538
fbm_terrain,65,8.000000,1x1x8,59521,59521,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,57663,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,8413,16563,8638,16465,1583274538
noise_cavity,33,1.000000,1x1x1,11435,11435,0,1585|0|31183,1585|0|31183,0,exact_500of500|f64max_0.000e0,true,true,32768,6215,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,6176,6522,6522,0,1583274538
noise_cavity,33,4.000000,1x2x4,11435,11435,0,1585|0|31183,1585|0|31183,0,exact_500of500|f64max_0.000e0,true,true,32768,6215,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,6176,1206,6522,1200,1583274538
noise_cavity,33,8.000000,1x1x8,11435,11435,0,1585|0|31183,1585|0|31183,0,exact_500of500|f64max_0.000e0,true,true,32768,6215,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,6176,1404,6522,1166,1583274538
noise_cavity,65,1.000000,1x1x1,49458,49458,0,9908|0|252236,9908|0|252236,0,exact_500of500|f64max_0.000e0,true,true,262144,32338,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,28375,28882,28882,0,1583274538
noise_cavity,65,4.000000,1x2x4,49458,49458,0,9908|0|252236,9908|0|252236,0,exact_500of500|f64max_0.000e0,true,true,262144,32338,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,28375,6710,28882,6700,1583274538
noise_cavity,65,8.000000,1x1x8,49458,49458,0,9908|0|252236,9908|0|252236,0,exact_500of500|f64max_0.000e0,true,true,262144,32338,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,28375,6738,28882,6172,1583274538
