# experiment P-120 (R-120)
# hypothesis: WU, OTOO AND SHOSHANI REPLACE POINTER-BASED EQUIVALENCE TREES WITH A FLAT ARRAY AND REPORT 5x TO 100x ON RANDOM BINARY IMAGES, WHICH IS AN UPPER BOUND HERE AND NOT A PREDICTION -- VOXEL ISLANDS ARE NOT RANDOM BINARY IMAGES. What this registration must state, because it is the reason the row could look like a reopening: connectivity.rs:29-46 EXPLICITLY REFUSES a union-find in favour of flat labels, because it WAS a union-find and adding fill broke it (x26) -- parent pointers encode union history rather than spatial adjacency. The three union-finds in crates/isomesh/src/ are private and each justified in prose: validate.rs:541 Dsu, validate/sealing.rs:835 UnionFind, and connectivity/world.rs:387 rebuilt from scratch on every restitch. This row is the PER-CHUNK, REBUILT-FROM-SCRATCH kind, it is bench-local, and it ANSWERS x26 rather than reopening it. (C1) At least 2x against the shipped flat-label structure on per-chunk island labelling. (C2) Final labels are CONSECUTIVE and independent of iteration order. (C3) The label sets equal the flat-label path's partition exactly. SHARE: per-chunk labelling only, which is not on the extraction path at all -- so C1's 2x is against a named structure rather than a fraction of a total, and no extraction speedup is claimed or implied.
# falsified by: C1 by under 2x against the current structure. C2 by any label depending on iteration order, which is x26's defect in a new costume and closes the row. C3 by the two partitions differing. VACUITY CONTROL: components must exceed 1 on the DUG arm -- column components_dug asserted greater than 1 -- because a labeller tested on a connected world is not being tested.
# commit 2a9b234 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:46:15Z
field,resolution,arm,chunk_cells,components,components_dug,ns_per_cell_flat,ns_per_cell_union_find,ratio,labels_consecutive,partition_identical,order_independent,c1_holds,c2_holds,c3_holds,air_fraction,air_samples,bubbles,cell_size,chunks,components_total,control_distinct_final_states,count_ones_per_cell_flat,count_ones_per_cell_union_find,cycles_per_cell_flat,cycles_per_cell_union_find,distinct_final_states,domain_lo,forms_agree,ghz,inner_reps_flat,inner_reps_union_find,instruction_ratio,instructions_per_cell_flat,instructions_per_cell_union_find,l1_miss_ratio,l1_misses_per_cell_flat,l1_misses_per_cell_union_find,mirror_matches_shipped,mutant_partition_mismatches,ns_per_cell_shipped_air,ns_ratio,orders_tested,provisional_labels,ratio_band_decides,ratio_rep_max,ratio_rep_median,ratio_rep_min,reps,samples_labelled,samples_per_chunk,target_feature_popcnt
gyroid,65,base,32768,2,29,8.66982,3.99321,2.1721,true,true,true,true,true,true,0.83713,240672,125,0.218750,8,9,2,0,0,36.24733,16.68771,1,-7.0000,false,4.1809,14,29,1.9986,145.16709,72.63416,16.4599,2.58769,0.15721,true,233238,16.42782,2.1711,3,525,true,2.1826,2.1712,2.1312,9,287496,35937,false
gyroid,65,dug,32768,29,29,8.81368,4.17674,2.1077,true,true,true,true,true,true,0.77472,222729,125,0.218750,8,134,3,0,0,36.82799,17.47279,1,-7.0000,false,4.1785,14,27,1.9548,134.10911,68.60553,15.6915,2.47711,0.15786,true,215497,16.17972,2.1102,3,954,true,2.1164,2.1055,2.0903,9,287496,35937,false
fbm_terrain,65,base,32768,12,33,4.92801,2.71758,1.8128,true,true,true,false,true,true,0.48818,140351,125,0.250000,8,31,3,0,0,20.61211,11.37003,1,-8.0000,true,4.1826,23,38,1.6732,87.19838,52.11395,9.0703,1.41938,0.15649,true,136128,9.69402,1.8134,3,506,true,1.8221,1.8110,1.7899,9,287496,35937,false
fbm_terrain,65,dug,32768,33,33,5.20850,2.89994,1.7973,true,true,true,false,true,true,0.45203,129957,125,0.250000,8,164,3,0,0,21.79030,12.12413,1,-8.0000,true,4.1836,23,40,1.6197,80.66688,49.80410,8.7671,1.38058,0.15747,true,125877,9.85968,1.7961,3,942,true,1.8090,1.7982,1.7889,9,287496,35937,false
noise_cavity,65,base,32768,17,53,8.88497,4.28397,2.0716,true,true,true,true,true,true,0.82011,235779,125,0.062500,8,91,3,0,0,37.15154,17.93387,1,-2.0000,false,4.1814,13,27,1.9611,142.21124,72.51678,15.8400,2.49426,0.15747,true,229434,16.46603,2.0740,3,881,true,2.0981,2.0732,2.0642,9,287496,35937,false
noise_cavity,65,dug,32768,53,53,8.88293,4.41230,2.0104,true,true,true,true,true,true,0.76681,220455,125,0.062500,8,277,3,0,0,37.12327,18.46570,1,-2.0000,false,4.1792,13,26,1.9076,132.80652,69.61789,15.2924,2.41821,0.15813,true,214205,16.20912,2.0132,3,1328,false,2.0305,2.0125,1.9834,9,287496,35937,false
sphere,129,base,32768,1,10,8.75781,3.78231,2.3181,true,true,true,true,true,true,0.93615,2153104,125,0.031250,64,64,1,0,0,36.61470,15.79484,1,-2.0000,true,4.1808,2,4,2.0710,162.19233,78.31559,17.4349,2.74275,0.15731,true,2086740,17.17825,2.3155,3,432,true,2.3534,2.3167,2.3007,9,2299968,35937,false
sphere,129,dug,32768,10,10,8.58663,3.88073,2.2111,true,true,true,true,true,true,0.84789,1950110,125,0.031250,64,283,3,0,0,35.87777,16.22627,1,-2.0000,false,4.1783,2,4,1.9994,147.04191,73.54315,15.9226,2.51141,0.15773,true,1891064,16.21429,2.2126,3,3492,true,2.2215,2.2119,2.2004,9,2299968,35937,false
torus,129,base,32768,1,13,9.06545,3.89171,2.3265,true,true,true,true,true,true,0.97080,2232808,125,0.031250,64,64,1,0,0,37.89414,16.28832,1,-2.0000,true,4.1801,2,4,2.0787,168.07910,80.85829,17.9602,2.81140,0.15653,true,2165688,17.47757,2.3294,3,412,true,2.3345,2.3271,2.2975,9,2299968,35937,false
torus,129,dug,32768,13,13,8.83809,4.01765,2.1980,true,true,true,true,true,true,0.87339,2008776,125,0.031250,64,288,3,0,0,36.94869,16.80983,1,-2.0000,true,4.1806,2,4,2.0038,151.33116,75.52120,16.5680,2.61223,0.15767,true,1948974,16.69267,2.1998,3,3657,true,2.2143,2.1991,2.1876,9,2299968,35937,false
box_exact,129,base,32768,1,10,8.23867,3.54432,2.3244,true,true,true,true,true,true,0.88602,2037824,125,0.031250,64,64,1,0,0,34.44128,14.81730,1,-2.0000,true,4.1804,2,5,2.0545,153.68896,74.80440,16.6491,2.60281,0.15633,true,1972224,15.97326,2.3245,3,66,true,2.3468,2.3242,2.3048,9,2299968,35937,false
box_exact,129,dug,32768,10,10,8.14236,3.69743,2.1996,true,true,true,true,true,true,0.81503,1874539,125,0.031250,64,283,3,0,0,34.02745,15.46952,1,-2.0000,false,4.1791,2,4,1.9861,141.53390,71.26050,15.5119,2.44228,0.15744,true,1815973,15.66661,2.2022,3,3194,true,2.2214,2.1983,2.1839,9,2299968,35937,false
csg_difference,129,base,32768,1,11,8.40561,3.63632,2.3114,true,true,true,true,true,true,0.90169,2073856,125,0.031250,64,64,1,0,0,35.15635,15.20986,1,-2.0000,true,4.1825,2,4,2.0508,156.32538,76.22593,16.4251,2.57213,0.15660,true,2007646,16.20516,2.3116,3,303,true,2.3204,2.3130,2.2984,9,2299968,35937,false
csg_difference,129,dug,32768,11,11,8.27642,3.77138,2.1949,true,true,true,true,true,true,0.82741,1903007,125,0.031250,64,289,3,0,0,34.62601,15.77584,1,-2.0000,false,4.1837,2,4,1.9845,143.60016,72.36152,15.3889,2.42306,0.15745,true,1844441,15.71935,2.1945,3,3422,true,2.1990,2.1942,2.1824,9,2299968,35937,false
thin_plate,129,base,32768,1,9,9.22152,3.87882,2.3759,true,true,true,true,true,true,0.99644,2291776,125,0.031250,64,64,1,0,0,38.53060,16.21717,1,-2.0000,true,4.1783,2,4,2.1101,172.40268,81.70393,18.3718,2.88663,0.15712,true,2222208,18.17628,2.3774,3,66,true,2.3911,2.3766,2.3511,9,2299968,35937,false
thin_plate,129,dug,32768,9,9,8.92244,3.99126,2.2384,true,true,true,true,true,true,0.89232,2052302,125,0.031250,64,280,3,0,0,37.31731,16.67111,1,-2.0000,true,4.1824,2,4,2.0305,154.49310,76.08472,16.9540,2.66791,0.15736,true,1990374,16.95347,2.2355,3,3507,true,2.2646,2.2409,2.1487,9,2299968,35937,false
gyroid,129,base,32768,3,12,8.15688,3.77028,2.1625,true,true,true,true,true,true,0.83487,1920176,125,0.109375,64,79,3,0,0,34.11770,15.77679,1,-7.0000,false,4.1827,2,4,1.9770,145.10512,73.39791,15.3885,2.42166,0.15737,true,1864412,15.76666,2.1635,3,2439,true,2.1917,2.1653,2.1527,9,2299968,35937,false
gyroid,129,dug,32768,12,12,8.01156,3.88105,2.0625,true,true,true,true,true,true,0.76869,1767972,125,0.109375,64,297,3,0,0,33.49910,16.24211,1,-7.0000,false,4.1813,2,4,1.9243,133.75370,69.50741,14.2863,2.25543,0.15787,true,1716104,15.18298,2.0643,3,4376,false,2.1194,2.0633,1.9686,9,2299968,35937,false
fbm_terrain,129,base,32768,8,14,4.84187,2.54754,1.9008,true,true,true,false,true,true,0.48887,1124376,125,0.125000,64,84,3,0,0,20.24809,10.65263,1,-8.0000,true,4.1819,3,6,1.6967,87.39525,51.50848,9.3367,1.45887,0.15625,true,1090410,9.76847,1.9006,3,1861,true,1.9109,1.8984,1.8702,9,2299968,35937,false
fbm_terrain,129,dug,32768,14,14,4.82691,2.68740,1.7965,true,true,true,false,true,true,0.44993,1034823,125,0.125000,64,320,3,0,0,20.19079,11.23868,1,-8.0000,true,4.1830,3,6,1.6213,80.67300,49.75861,8.6187,1.35212,0.15688,true,1003279,9.51915,1.7961,3,3869,true,1.8112,1.7950,1.7271,9,2299968,35937,false
noise_cavity,129,base,32768,17,36,8.23993,3.87668,2.1249,true,true,true,true,true,true,0.81917,1884057,125,0.031250,64,183,3,0,0,34.46795,16.22081,1,-2.0000,false,4.1830,2,4,1.9735,142.40343,72.15880,15.2524,2.39754,0.15719,true,1831042,15.78889,2.1255,3,3042,false,2.1532,2.1243,1.9943,9,2299968,35937,false
noise_cavity,129,dug,32768,36,36,8.01763,3.89664,2.0572,true,true,true,true,true,true,0.76214,1752905,125,0.031250,64,526,3,0,0,33.53830,16.30266,1,-2.0000,false,4.1831,2,4,1.9206,132.64280,69.06488,14.2866,2.25631,0.15793,true,1703049,15.26077,2.0576,3,5042,true,2.0656,2.0583,2.0379,9,2299968,35937,false
