# experiment P-142 (R-142)
# hypothesis: CLAUDE.md records that chi cannot be asserted on gyroid, which has left that field with no topological gate. It is assertable, and the reason the project could not see it is that the extraction box is not periodic-conforming. Triply periodic minimal surfaces have genus 3 per primitive translational cell; the gyroid's primitive lattice is body-centred cubic, so the conventional cubic cell holds two primitive cells and chi = -8, not -4. Verified numerically on the nodal surfaces at 32, 64, 96 and 128 voxels per period: Schwarz P -4, gyroid -8, Schwarz D -16 per conventional cubic cell, stable across resolution. (C1) Extracting the gyroid over an integer number of periods with periodic wrap gives chi = -8N^3 exactly, for N in {1, 2, 3}, on every extractor in the crate that produces a closed surface. (C2) The measured genus is 1 + 4N^3, consistent with C1 through chi = 2 - 2g. (C3) The oracle is added to the validity suite as a gate for gyroid, closing a hole the ledger currently records as permanent. SHARE: none -- this is a correctness gate where there was none.
# falsified by: C1 by any N disagreeing, which would mean the extraction is not periodic-conforming and the wrap is where the defect is -- itself a finding, since chunk seams are the recurring defect class. C2 by an inconsistent genus, which would mean the surface is not closed and orientable and C1's arithmetic does not apply. C3 by the gate being unimplementable within the existing suite. VACUITY CONTROL: the non-wrapped arm must be run and must fail the -8N^3 prediction, or the experiment has not shown that periodicity is what matters.
# commit 845c7a8 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:26:52Z
field,periods_per_axis,resolution,wrap_mode,chi_predicted,chi_measured,chi_agreement,genus_measured,boundary_edges,nonmanifold_edges,cells,c1_holds,c2_holds,c3_holds,arm,body_centring_ok,body_centring_residual,c1_scope,cell_size,chi_from_genus,chi_gap,chi_per_cubic_cell,components,edges,extractor,faces,genus_agreement,genus_predicted,is_closed,is_control,is_manifold,mesh_triangles,mesh_vertices,primitive_cells_per_cubic_cell,primitive_lattice,seam_pairs_identified,space_group,validate_boundary_edges,validate_chi,validate_nonmanifold_edges,vertices,voxels_per_period,weld_tolerance
gyroid,1,34,open,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,15258,manifold_dual_contouring,9984,false,5,false,true,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
gyroid,1,34,periodic,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-2,5,-8,1,15258,manifold_dual_contouring,9984,false,5,false,false,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
gyroid,1,34,open,-8,-3,false,2,984,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,45798,subgrid_marching_tetrahedra,30204,false,5,false,true,true,30210,15597,2,bcc,0,Ia-3d,990,-3,0,15591,33,1.904e-5
gyroid,1,34,periodic,-8,-8,true,5,0,0,35937,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-8,0,-8,1,45306,subgrid_marching_tetrahedra,30204,true,5,true,false,true,30204,15094,2,bcc,503,Ia-3d,0,-8,0,15094,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,2376,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,128196,marching_cubes,84672,false,33,false,true,true,84703,43497,2,bcc,0,Ia-3d,2397,-53,0,43471,33,1.904e-5
gyroid,2,67,periodic,-64,-64,true,33,0,0,287496,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-64,0,-8,1,127008,marching_cubes,84672,true,33,true,false,true,84672,42272,2,bcc,1225,Ia-3d,0,-64,0,42272,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,2376,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,128196,marching_cubes+decider,84672,false,33,false,true,true,84703,43497,2,bcc,0,Ia-3d,2397,-53,0,43471,33,1.904e-5
gyroid,2,67,periodic,-64,-64,true,33,0,0,287496,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-64,0,-8,1,127008,marching_cubes+decider,84672,true,33,true,false,true,84672,42272,2,bcc,1225,Ia-3d,0,-64,0,42272,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,3936,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,363840,marching_tetrahedra,241248,false,33,false,true,true,241338,122605,2,bcc,0,Ia-3d,3978,-53,0,122539,33,1.904e-5
gyroid,2,67,periodic,-64,-64,true,33,0,0,287496,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-64,0,-8,1,361872,marching_tetrahedra,241248,true,33,true,false,true,241248,120560,2,bcc,2045,Ia-3d,0,-64,0,120560,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,124461,surface_nets,82200,false,33,false,true,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,periodic,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-46,11,-8,1,124461,surface_nets,82200,false,33,false,false,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,124461,dual_contouring,82200,false,33,false,true,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,periodic,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-46,11,-8,1,124461,dual_contouring,82200,false,33,false,false,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,open,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-46,11,-8,1,124461,manifold_dual_contouring,82200,false,33,false,true,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,periodic,-64,-53,false,24,2322,0,287496,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-46,11,-8,1,124461,manifold_dual_contouring,82200,false,33,false,false,true,82200,42223,2,bcc,0,Ia-3d,2322,-53,0,42208,33,1.904e-5
gyroid,2,67,open,-64,-53,false,none,3936,0,287496,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,none,11,-8,1,364416,subgrid_marching_tetrahedra,241632,false,33,false,true,false,241722,122797,2,bcc,0,Ia-3d,3978,-53,0,122731,33,1.904e-5
gyroid,2,67,periodic,-64,-67,false,33,12,0,287496,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-64,-3,-8,1,362454,subgrid_marching_tetrahedra,241632,false,33,false,false,true,241632,120755,2,bcc,2042,Ia-3d,12,-67,0,120755,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,5346,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,431325,marching_cubes,285768,false,109,false,true,true,285875,145437,2,bcc,0,Ia-3d,5397,-199,0,145358,33,1.904e-5
gyroid,3,100,periodic,-216,-216,true,109,0,0,970299,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-216,0,-8,1,428652,marching_cubes,285768,true,109,true,false,true,285768,142668,2,bcc,2769,Ia-3d,0,-216,0,142668,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,5346,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,431325,marching_cubes+decider,285768,false,109,false,true,true,285875,145437,2,bcc,0,Ia-3d,5397,-199,0,145358,33,1.904e-5
gyroid,3,100,periodic,-216,-216,true,109,0,0,970299,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-216,0,-8,1,428652,marching_cubes+decider,285768,true,109,true,false,true,285768,142668,2,bcc,2769,Ia-3d,0,-216,0,142668,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,8856,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,1225746,marching_tetrahedra,814212,false,109,false,true,true,814530,411545,2,bcc,0,Ia-3d,8958,-199,0,411335,33,1.904e-5
gyroid,3,100,periodic,-216,-216,true,109,0,0,970299,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-216,0,-8,1,1221318,marching_tetrahedra,814212,true,109,true,false,true,814212,406890,2,bcc,4655,Ia-3d,0,-216,0,406890,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,422760,surface_nets,280080,false,109,false,true,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,periodic,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-186,17,-8,1,422760,surface_nets,280080,false,109,false,false,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,422760,dual_contouring,280080,false,109,false,true,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,periodic,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-186,17,-8,1,422760,dual_contouring,280080,false,109,false,false,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,open,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-186,17,-8,1,422760,manifold_dual_contouring,280080,false,109,false,true,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,periodic,-216,-199,false,94,5280,0,970299,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-186,17,-8,1,422760,manifold_dual_contouring,280080,false,109,false,false,true,280080,142505,2,bcc,0,Ia-3d,5280,-199,0,142481,33,1.904e-5
gyroid,3,100,open,-216,-199,false,none,8856,0,970299,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,none,17,-8,1,1227690,subgrid_marching_tetrahedra,815508,false,109,false,true,false,815826,412193,2,bcc,0,Ia-3d,8958,-199,0,411983,33,1.904e-5
gyroid,3,100,periodic,-216,-222,false,109,24,0,970299,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-216,-6,-8,1,1223274,subgrid_marching_tetrahedra,815508,false,109,false,false,true,815508,407544,2,bcc,4649,Ia-3d,24,-222,0,407544,33,1.904e-5
gyroid,1,66,open,-8,-3,false,2,1170,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,62037,marching_cubes,40968,false,5,false,true,true,40971,21069,2,bcc,0,Ia-3d,1173,-3,0,21066,65,9.666e-6
gyroid,1,66,periodic,-8,-8,true,5,0,0,274625,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.096664389,-8,0,-8,1,61452,marching_cubes,40968,true,5,true,false,true,40968,20476,2,bcc,593,Ia-3d,0,-8,0,20476,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1170,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,62037,marching_cubes+decider,40968,false,5,false,true,true,40971,21069,2,bcc,0,Ia-3d,1173,-3,0,21066,65,9.666e-6
gyroid,1,66,periodic,-8,-8,true,5,0,0,274625,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.096664389,-8,0,-8,1,61452,marching_cubes+decider,40968,true,5,true,false,true,40968,20476,2,bcc,593,Ia-3d,0,-8,0,20476,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1944,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,176922,marching_tetrahedra,117300,false,5,false,true,true,117306,59625,2,bcc,0,Ia-3d,1950,-3,0,59619,65,9.666e-6
gyroid,1,66,periodic,-8,-8,true,5,0,0,274625,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.096664389,-8,0,-8,1,175950,marching_tetrahedra,117300,true,5,true,false,true,117300,58642,2,bcc,983,Ia-3d,0,-8,0,58642,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,60258,surface_nets,39792,false,5,false,true,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,periodic,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.096664389,-2,5,-8,1,60258,surface_nets,39792,false,5,false,false,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,60258,dual_contouring,39792,false,5,false,true,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,periodic,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.096664389,-2,5,-8,1,60258,dual_contouring,39792,false,5,false,false,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,60258,manifold_dual_contouring,39792,false,5,false,true,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,periodic,-8,-3,false,2,1140,0,274625,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.096664389,-2,5,-8,1,60258,manifold_dual_contouring,39792,false,5,false,false,true,39792,20469,2,bcc,0,Ia-3d,1140,-3,0,20463,65,9.666e-6
gyroid,1,66,open,-8,-3,false,2,1944,0,274625,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.096664389,-2,5,-8,1,176958,subgrid_marching_tetrahedra,117324,false,5,false,true,true,117330,59637,2,bcc,0,Ia-3d,1950,-3,0,59631,65,9.666e-6
gyroid,1,66,periodic,-8,-11,false,5,12,0,274625,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.096664389,-8,-3,-8,1,175992,subgrid_marching_tetrahedra,117324,false,5,false,false,true,117324,58657,2,bcc,980,Ia-3d,12,-11,0,58657,65,9.666e-6
gyroid,1,98,open,-8,-3,false,2,1746,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,137565,marching_cubes,91128,false,5,false,true,true,91179,46461,2,bcc,0,Ia-3d,1749,-3,0,46434,97,6.478e-6
gyroid,1,98,periodic,-8,-8,true,5,0,0,912673,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.064775106,-8,0,-8,1,136692,marching_cubes,91128,true,5,true,false,true,91128,45556,2,bcc,905,Ia-3d,0,-8,0,45556,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,1746,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,137565,marching_cubes+decider,91128,false,5,false,true,true,91179,46461,2,bcc,0,Ia-3d,1749,-3,0,46434,97,6.478e-6
gyroid,1,98,periodic,-8,-8,true,5,0,0,912673,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.064775106,-8,0,-8,1,136692,marching_cubes+decider,91128,true,5,true,false,true,91128,45556,2,bcc,905,Ia-3d,0,-8,0,45556,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,2904,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,392664,marching_tetrahedra,260808,false,5,false,true,true,260922,131913,2,bcc,0,Ia-3d,2910,-3,0,131853,97,6.478e-6
gyroid,1,98,periodic,-8,-8,true,5,0,0,912673,true,true,false,resolution_sweep,true,1.887e-15,in_scope,0.064775106,-8,0,-8,1,391212,marching_tetrahedra,260808,true,5,true,false,true,260808,130396,2,bcc,1517,Ia-3d,0,-8,0,130396,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,134994,surface_nets,89424,false,5,false,true,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,periodic,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.064775106,-2,5,-8,1,134994,surface_nets,89424,false,5,false,false,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,134994,dual_contouring,89424,false,5,false,true,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,periodic,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.064775106,-2,5,-8,1,134994,dual_contouring,89424,false,5,false,false,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,134994,manifold_dual_contouring,89424,false,5,false,true,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,periodic,-8,-3,false,2,1716,0,912673,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.064775106,-2,5,-8,1,134994,manifold_dual_contouring,89424,false,5,false,false,true,89424,45573,2,bcc,0,Ia-3d,1716,-3,0,45567,97,6.478e-6
gyroid,1,98,open,-8,-3,false,2,2904,0,912673,true,true,false,resolution_sweep,true,1.887e-15,control_open_arm,0.064775106,-2,5,-8,1,392700,subgrid_marching_tetrahedra,260832,false,5,false,true,true,260946,131925,2,bcc,0,Ia-3d,2910,-3,0,131865,97,6.478e-6
gyroid,1,98,periodic,-8,-11,false,5,12,0,912673,true,true,false,resolution_sweep,true,1.887e-15,excluded_not_closed,0.064775106,-8,-3,-8,1,391254,subgrid_marching_tetrahedra,260832,false,5,false,false,true,260832,130411,2,bcc,1514,Ia-3d,12,-11,0,130411,97,6.478e-6
