sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,248,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,126,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,marching_tetrahedra,768,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,386,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,surface_nets,252,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,128,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,252,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,128,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,252,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,128,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,768,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,386,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,48,marching_cubes,296,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,150,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,48,marching_cubes+decider,296,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,150,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,150,marching_tetrahedra,936,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,470,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,0,surface_nets,300,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,152,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,300,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,152,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,300,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,152,inf
sphere,0,2,2,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,1.000000,90,subgrid_marching_tetrahedra,840,6.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,422,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,536,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,270,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,536,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,270,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,18,marching_tetrahedra,1656,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,830,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,surface_nets,540,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,272,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,540,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,272,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,540,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,272,inf
sphere,0,2,2,true,17,4096,0,7,true,true,0,0.250000,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,1620,8.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,812,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,48,marching_cubes,872,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,438,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,48,marching_cubes+decider,872,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,438,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,162,marching_tetrahedra,2688,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1346,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,12,surface_nets,876,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,440,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,12,dual_contouring,876,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,440,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,12,manifold_dual_contouring,876,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,440,inf
sphere,0,2,2,true,21,8000,0,7,true,true,0,0.200000,0,true,crate_expected_euler,5,1.000000,114,subgrid_marching_tetrahedra,2616,10.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1310,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,48,marching_cubes,1304,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,654,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,48,marching_cubes+decider,1304,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,654,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,162,marching_tetrahedra,3984,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1994,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,0,surface_nets,1308,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,656,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,1308,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,656,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,1308,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,656,inf
sphere,0,2,2,true,25,13824,0,7,true,true,0,0.166667,0,true,crate_expected_euler,5,1.000000,90,subgrid_marching_tetrahedra,3840,12.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1922,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,2312,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1158,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,2312,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1158,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,18,marching_tetrahedra,7032,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,3518,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,surface_nets,2316,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1160,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,2316,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1160,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,2316,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,1160,inf
sphere,0,2,2,true,33,32768,0,7,true,true,0,0.125000,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,6996,16.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,3500,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,48,marching_cubes,5240,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,2622,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,48,marching_cubes+decider,5240,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,2622,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,162,marching_tetrahedra,15864,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,7934,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,0,surface_nets,5244,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,2624,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,5244,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,2624,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,5244,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,2624,inf
sphere,0,2,2,true,49,110592,0,7,true,true,0,0.083333,0,true,crate_expected_euler,5,1.000000,90,subgrid_marching_tetrahedra,15720,24.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,7862,inf
torus,1,0,8,false,5,64,0,7,true,true,0,1.000000,8,true,crate_expected_euler,5,0.700000,0,marching_cubes,32,0.600000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,0,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,0.700000,0,marching_cubes+decider,48,0.600000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,4,false,5,64,0,7,true,true,0,1.000000,4,true,crate_expected_euler,5,0.700000,0,marching_tetrahedra,96,0.600000,0.600000,9,2,1,true,true,none,inf,2,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,52,1.400000
torus,1,0,4,false,5,64,4,7,true,true,0,1.000000,4,true,crate_expected_euler,5,0.700000,0,surface_nets,48,0.600000,0.600000,9,2,1,true,false,none,inf,1,8,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,4,false,5,64,4,7,true,true,0,1.000000,4,true,crate_expected_euler,5,0.700000,0,dual_contouring,48,0.600000,0.600000,9,2,1,true,false,none,inf,1,8,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,8,false,5,64,0,7,true,true,0,1.000000,8,true,crate_expected_euler,5,0.700000,0,manifold_dual_contouring,48,0.600000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,32,1.400000
torus,1,0,0,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,0.700000,0,subgrid_marching_tetrahedra,120,0.600000,0.600000,5,2,1,true,false,none,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,60,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,marching_cubes,32,0.900000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,marching_cubes+decider,32,0.900000,0.600000,5,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,24,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,marching_tetrahedra,96,0.900000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,56,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,surface_nets,48,0.900000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,32,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,dual_contouring,48,0.900000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,32,1.400000
torus,1,0,8,false,7,216,0,7,true,true,0,0.666667,8,true,crate_expected_euler,5,0.700000,0,manifold_dual_contouring,48,0.900000,0.600000,9,2,1,true,true,none,inf,4,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,32,1.400000
torus,1,0,0,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,0.700000,0,subgrid_marching_tetrahedra,224,0.900000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,0,marching_cubes,128,1.200000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,64,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,0,marching_cubes+decider,128,1.200000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,64,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,0,marching_tetrahedra,360,1.200000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,180,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,0,surface_nets,128,1.200000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,64,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,4,dual_contouring,128,1.200000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,64,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,4,manifold_dual_contouring,128,1.200000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,64,1.400000
torus,1,0,0,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,0.700000,0,subgrid_marching_tetrahedra,368,1.200000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,184,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,0,marching_cubes,192,1.500000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,96,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,0,marching_cubes+decider,192,1.500000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,96,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,0,marching_tetrahedra,584,1.500000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,292,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,0,surface_nets,192,1.500000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,96,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,8,dual_contouring,192,1.500000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,96,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,8,manifold_dual_contouring,192,1.500000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,96,1.400000
torus,1,0,0,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,0.700000,0,subgrid_marching_tetrahedra,608,1.500000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,304,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,marching_cubes,224,1.800000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,marching_cubes+decider,224,1.800000,0.600000,5,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,marching_tetrahedra,672,1.800000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,336,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,surface_nets,224,1.800000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,dual_contouring,224,1.800000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
torus,1,0,0,true,13,1728,0,7,true,true,0,0.333333,0,true,crate_expected_euler,5,0.700000,0,manifold_dual_contouring,224,1.800000,0.600000,9,2,1,true,true,1,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,0.600000,112,1.400000
